"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
松山區,中崙里,1443,2057192,1426,823,406,1648,2898.22,203.29
松山區,自強里,3128,4331423,1385,818,409,1619,3440.07,248.43
松山區,鵬程里,1893,2469616,1305,755,390,1509,3911.03,299.79
松山區,東榮里,3002,5869047,1955,910,428,1955,7126.20,364.50
松山區,介壽里,1589,2697501,1698,897,442,1877,4197.21,247.24
松山區,東勢里,1656,3476724,2099,818,403,1639,26527.70,1263.54
松山區,東光里,2662,3656188,1373,792,395,1611,2450.36,178.41
松山區,中正里,3533,7512844,2126,1011,482,2007,15786.87,742.40
松山區,復盛里,2327,2627815,1129,713,378,1364,2774.17,245.66
松山區,復勢里,2300,3244699,1411,799,406,1522,5513.74,390.84
松山區,美仁里,1242,2025885,1631,905,437,1845,2932.42,179.78
松山區,吉仁里,1442,2040832,1415,796,418,1685,2383.94,168.44
松山區,精忠里,1564,3145093,2011,959,443,1878,6939.86,345.11
松山區,東昌里,917,9836571,10727,936,474,1816,261760.57,2440.22
松山區,福成里,1005,4183166,4162,908,429,1882,54215.32,1302.52
松山區,中華里,2334,7163155,3069,983,457,2148,33841.08,1102.66
松山區,吉祥里,3209,4425087,1379,757,391,1491,5030.82,364.83
松山區,新東里,1788,2056958,1150,778,397,1410,1420.23,123.45
松山區,三民里,2534,3987474,1574,807,399,1589,6160.01,391.46
松山區,復建里,1643,2161124,1315,866,433,1717,1455.57,110.66
松山區,敦化里,2590,4077210,1574,848,434,1686,4250.22,269.99
松山區,安平里,2899,2918089,1007,661,366,1255,1627.00,161.64
松山區,富錦里,1876,3301915,1760,780,417,1510,14116.15,802.02
松山區,莊敬里,1764,1685818,956,717,396,1250,860.99,90.09
松山區,新益里,1714,1865096,1088,736,387,1420,1341.26,123.26
松山區,富泰里,1693,2158699,1275,805,407,1573,1875.55,147.09
松山區,龍田里,3610,5873804,1627,1007,472,1949,6061.97,372.56
松山區,慈祐里,2353,2203785,937,649,368,1157,983.30,104.99
松山區,復源里,1141,1620356,1420,774,379,1521,4758.52,335.08
松山區,民福里,2294,2533079,1104,712,382,1382,1535.14,139.02
松山區,松基里,1414,3531908,2498,846,398,1797,14296.81,572.37
松山區,新聚里,2981,3727959,1251,729,386,1373,4137.31,330.83
松山區,民有里,3464,6561987,1894,833,403,1762,7502.63,396.06
大安區,建安里,2007,3633634,1810,840,383,1780,4855.97,268.21
大安區,通安里,1968,2537085,1289,735,396,1432,2290.42,177.67
大安區,民輝里,2662,11466013,4307,940,442,2103,70212.51,1630.08
大安區,德安里,2108,3936671,1867,842,407,1834,4913.30,263.10
大安區,敦安里,2385,5602102,2349,923,417,2056,10842.10,461.58
大安區,光明里,1220,2755960,2259,1069,486,2148,9870.72,436.95
大安區,永康里,1329,2058743,1549,867,436,1773,2537.35,163.80
大安區,福住里,2287,6040010,2641,1051,479,2097,21704.84,821.84
大安區,仁愛里,2188,6760928,3090,983,422,2260,18761.02,607.15
大安區,義村里,2263,4539504,2006,748,375,1514,31619.22,1576.26
大安區,臥龍里,681,997138,1464,823,377,1661,3213.54,219.47
大安區,通化里,2105,2913984,1384,688,378,1313,7895.60,570.36
大安區,龍生里,2389,3943448,1651,973,485,1957,2361.57,143.07
大安區,新龍里,2396,3403884,1421,884,436,1803,2008.28,141.36
大安區,住安里,1800,2887167,1604,752,403,1391,6098.97,380.24
大安區,錦泰里,1270,2882027,2269,944,424,1964,22033.18,970.92
大安區,建倫里,2392,6865511,2870,933,406,2091,17898.79,623.61
大安區,錦華里,1976,3680775,1863,1047,507,1979,6848.07,367.63
大安區,光武里,2880,4386855,1523,817,396,1590,4460.23,292.82
大安區,仁慈里,1948,4150136,2130,995,461,2157,7676.08,360.30
大安區,黎孝里,2759,2933238,1063,718,385,1312,1289.09,121.25
大安區,民炤里,3097,8439095,2725,990,433,2094,14829.12,544.20
大安區,昌隆里,1232,1770228,1437,833,425,1729,1896.38,131.98
大安區,黎和里,1697,1861722,1097,713,395,1380,1289.35,117.53
大安區,龍雲里,1825,4073625,2232,870,414,1867,16797.23,752.52
大安區,芳和里,1953,2289198,1172,736,394,1424,1623.46,138.50
大安區,龍安里,2315,5389418,2328,1024,468,2058,9729.12,417.91
大安區,義安里,2090,5629535,2694,941,433,2101,10725.95,398.21
大安區,虎嘯里,1433,2479580,1730,852,418,1714,4690.35,271.07
大安區,龍淵里,3191,4892947,1533,975,447,1949,2478.69,161.65
大安區,龍坡里,2097,3431097,1636,1002,484,1998,2528.39,154.53
大安區,龍門里,1608,3364542,2092,1057,472,2161,8147.31,389.38
大安區,敦煌里,2305,4305392,1868,917,429,1910,6118.27,327.56
大安區,羣賢里,2233,3752677,1681,802,396,1708,4204.79,250.20
大安區,車層里,2446,5149185,2105,910,394,1963,5782.11,274.67
大安區,光信里,2837,4866551,1715,853,430,1767,4235.07,246.89
大安區,和安里,2428,9663940,3980,970,463,2060,43819.19,1100.93
大安區,正聲里,1853,3961056,2138,856,423,1880,9177.90,429.35
大安區,誠安里,1613,2047780,1270,748,353,1412,1885.27,148.50
大安區,華聲里,1553,3375223,2173,836,407,1719,12489.49,574.66
大安區,臨江里,1325,1299928,981,651,388,1220,1068.25,108.89
大安區,龍陣里,1340,2701153,2016,884,456,1779,13704.68,679.87
大安區,龍圖里,2575,4369441,1697,884,422,1780,5371.79,316.57
大安區,古莊里,2623,3659510,1395,868,440,1670,2110.72,151.29
大安區,錦安里,2134,4455472,2088,1024,469,2068,5647.69,270.50
大安區,大學里,3151,4938668,1567,930,443,1809,2644.84,168.75
大安區,古風里,1542,2434268,1579,875,443,1843,3239.42,205.20
大安區,全安里,1712,4670419,2728,850,438,1892,31987.34,1172.54
大安區,黎元里,1787,1580316,884,626,366,1119,1442.30,163.09
大安區,法治里,1666,2272340,1364,782,402,1519,2405.65,176.37
大安區,龍泉里,1797,2637763,1468,887,438,1788,3021.19,205.82
大安區,羣英里,2589,3315867,1281,817,399,1615,1838.61,143.56
大安區,學府里,773,940005,1216,733,396,1524,1382.02,113.65
中正區,南門里,966,1762663,1825,841,393,1747,7463.42,409.02
中正區,龍興里,1253,1435467,1146,788,400,1496,1423.93,124.29
中正區,愛國里,1127,1412928,1254,758,409,1433,2208.77,176.18
中正區,龍光里,1224,1727703,1412,920,464,1720,1916.14,135.75
中正區,河堤里,1756,2159640,1230,763,412,1454,2068.86,168.22
中正區,龍福里,2129,2864259,1345,910,439,1767,1442.96,107.25
中正區,螢雪里,1553,1520331,979,647,368,1226,1141.42,116.59
中正區,永昌里,1566,1326667,847,596,351,1052,853.67,100.77
中正區,文盛里,969,1391933,1436,841,415,1609,4504.00,313.55
中正區,忠勤里,1824,1299992,713,544,329,905,616.48,86.50
中正區,永功里,2080,2252949,1083,738,382,1378,1225.91,113.18
中正區,螢圃里,2027,2234394,1102,714,387,1361,1389.04,126.01
中正區,幸市里,1776,4963811,2795,910,435,1917,15656.24,560.16
中正區,文祥里,2714,4641303,1710,970,441,2011,4384.01,256.35
