"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中區,繼光里,476,387780,815,503,271,930,1101.08,135.16
中區,大墩里,689,667895,969,588,312,1144,1384.68,142.84
中區,綠川里,527,382840,726,507,259,847,831.21,114.42
中區,公園里,498,491029,986,592,310,1104,1378.28,139.78
中區,光復里,610,842360,1381,558,291,1047,9041.96,654.78
中區,柳川里,453,516098,1139,542,310,988,6733.38,591.02
中區,大誠里,572,541228,946,565,306,1036,2469.45,260.99
中區,中華里,433,360790,833,507,286,1026,1128.13,135.39
東區,新庄里,860,762371,886,575,307,1016,1044.14,117.79
東區,泉源里,472,347986,737,492,277,907,763.41,103.55
東區,東門里,2170,1562403,720,502,299,857,994.10,138.07
東區,東勢里,740,539783,729,556,315,946,656.41,89.99
東區,合作里,1045,749984,718,573,337,905,620.34,86.44
東區,振興里,959,753846,786,543,300,938,1280.32,162.88
東區,東橋里,1153,901056,781,514,293,924,1465.83,187.57
東區,旱溪里,664,521340,785,535,295,896,1667.11,212.33
東區,樂成里,583,445232,764,556,291,970,725.01,94.93
東區,干城里,731,576881,789,565,311,923,911.69,115.53
東區,東南里,1067,820715,769,550,334,966,753.45,97.96
東區,十甲里,1337,1079736,808,542,322,955,1105.97,136.95
東區,富臺里,417,272452,653,525,295,843,554.88,84.93
東區,富仁里,1138,1001011,880,603,313,1108,1062.38,120.78
東區,東興里,964,815385,846,584,324,1016,1242.46,146.89
東區,東信里,2930,2233983,762,534,304,947,923.10,121.07
東區,東英里,2053,1797480,876,604,336,1108,922.04,105.31
西區,民生里,712,738274,1037,692,353,1307,1171.59,112.99
西區,利民里,526,617291,1174,775,407,1474,1342.06,114.36
西區,三民里,653,785412,1203,835,370,1645,1312.91,109.16
西區,東昇里,868,879805,1014,683,381,1279,1068.23,105.39
西區,廣民里,466,422808,907,556,289,1089,1467.29,161.72
西區,平和里,693,674573,973,686,327,1294,1055.25,108.41
西區,公民里,1699,1864317,1097,650,360,1287,1644.77,149.89
西區,公舘里,1793,1630558,909,607,339,1075,1100.15,120.97
西區,和龍里,641,488437,762,532,299,960,847.83,111.26
西區,民龍里,1108,1206962,1089,646,347,1296,1402.74,128.77
西區,後龍里,1189,1507516,1268,637,331,1302,3259.90,257.11
西區,安龍里,1020,1704132,1671,654,346,1283,17167.42,1027.55
西區,忠明里,1969,2995735,1521,656,332,1306,7942.53,522.04
西區,公正里,2271,2343626,1032,686,365,1279,1196.36,115.93
西區,昇平里,1913,2094015,1095,647,347,1183,2656.01,242.64
西區,土庫里,1996,2793684,1400,692,360,1405,3585.14,256.15
西區,藍興里,1401,1456176,1039,679,356,1276,1572.30,151.27
西區,吉龍里,2385,3203076,1343,722,372,1385,4835.51,360.05
西區,忠誠里,2150,3204647,1491,614,332,1181,12164.63,816.13
西區,公益里,896,668201,746,530,302,940,720.37,96.60
西區,中興里,1310,1969721,1504,635,345,1285,5262.55,350.00
西區,公平里,1731,1929008,1114,656,348,1210,3631.47,325.87
西區,公德里,1538,1671805,1087,693,365,1305,1604.16,147.58
西區,大忠里,1581,1727778,1093,753,392,1407,1439.85,131.75
西區,双龍里,938,1350377,1440,635,336,1142,8443.27,586.49
南區,城隍里,1164,953397,819,586,337,1019,944.84,115.36
南區,南門里,1277,1207845,946,621,346,1116,1397.79,147.78
南區,德義里,1055,933846,885,623,338,1160,845.31,95.50
南區,積善里,841,656316,780,560,342,980,766.82,98.26
南區,江川里,1048,977703,933,656,334,1203,1002.26,107.43
南區,新榮里,1457,1312341,901,641,376,1185,1083.96,120.34
南區,福興里,1291,1035146,802,592,319,1037,730.95,91.16
南區,和平里,1366,1193758,874,637,360,1055,1163.50,133.14
南區,永興里,2430,2240645,922,656,356,1178,896.55,97.23
南區,樹義里,3521,3146340,894,657,363,1134,853.12,95.47
南區,樹德里,2668,2472712,927,686,382,1220,862.50,93.06
南區,西川里,1483,1373599,926,668,356,1217,857.34,92.56
南區,國光里,1312,1082016,825,578,315,1027,991.72,120.25
南區,福平里,1677,1355319,808,581,337,1008,998.34,123.53
南區,長榮里,949,791406,834,572,312,1031,952.69,114.24
南區,長春里,712,634927,892,599,319,1063,1278.60,143.38
南區,福順里,1852,1632071,881,630,365,1089,886.92,100.64
南區,平和里,1163,971717,836,600,320,1067,861.56,103.12
南區,南和里,2059,1833229,890,626,339,1181,907.29,101.90
南區,永和里,1443,1154494,800,600,345,997,750.61,93.82
南區,工學里,2206,2053052,931,700,389,1245,838.99,90.15
南區,崇倫里,1892,1641786,868,634,363,1132,844.14,97.28
北區,光大里,534,379997,712,462,284,852,770.01,108.21
北區,新興里,427,322821,756,511,273,921,991.23,131.11
北區,錦村里,1052,868432,826,591,346,1053,754.61,91.41
北區,邱厝里,762,837648,1099,667,333,1341,1438.37,130.85
北區,賴厝里,1395,1437259,1030,704,388,1281,1469.16,142.60
北區,賴村里,1360,1250251,919,605,337,1042,2443.35,265.78
北區,淡溝里,1700,1821622,1072,674,360,1298,1381.42,128.92
北區,中達里,747,599157,802,536,319,938,935.07,116.58
北區,新北里,666,1408452,2115,639,332,1321,11230.76,531.06
北區,樂英里,693,483977,698,534,287,849,706.88,101.22
北區,錦洲里,1056,884367,837,565,324,977,966.30,115.38
北區,金龍里,1302,981742,754,543,303,930,1078.53,143.04
北區,文莊里,1014,816836,806,553,307,974,951.83,118.16
北區,金華里,815,907811,1114,681,353,1305,1424.30,127.87
北區,五常里,350,289726,828,568,328,976,836.10,101.00
北區,育德里,1160,1335297,1151,631,358,1286,2541.73,220.80
北區,頂厝里,1386,1471381,1062,663,348,1271,1582.95,149.11
北區,建興里,1832,1550156,846,581,323,1063,929.89,109.90
北區,建成里,1562,1077792,690,521,321,850,623.81,90.41
北區,健行里,2064,2675337,1296,655,347,1266,10894.66,840.51
北區,明德里,1840,1691733,919,613,346,1158,1003.56,109.15
北區,長青里,2001,1659174,829,591,345,1022,939.71,113.33
北區,賴興里,1340,1473794,1100,638,343,1130,6697.14,608.92
北區,賴明里,1259,1090947,867,571,321,997,1324.09,152.81
北區,錦祥里,1007,849553,844,557,327,1042,1010.39,119.76
北區,建德里,1053,807546,767,549,308,940,1058.75,138.06
北區,崇德里,1127,1104749,980,646,344,1251,1149.66,117.28
北區,賴旺里,1203,966118,803,576,326,1031,921.81,114.78
北區,明新里,860,681566,793,560,333,961,1165.89,147.11
北區,立人里,1110,958668,864,627,344,1121,902.15,104.46
北區,賴福里,1313,1579107,1203,757,412,1439,1761.40,146.46
北區,梅川里,991,1111736,1122,643,344,1213,2247.71,200.36
北區,錦平里,637,570896,896,615,334,1201,861.08,96.08
北區,中正里,435,369189,849,598,330,1082,836.00,98.50
北區,大湖里,497,318091,640,493,287,832,548.85,85.75
北區,六合里,475,357952,754,523,297,930,786.77,104.40
西屯區,西安里,1621,2578944,1591,653,352,1221,17630.32,1108.16
西屯區,西墩里,1467,1718482,1171,656,355,1315,2886.94,246.45
西屯區,潮洋里,1581,2412743,1526,815,394,1655,4932.42,323.21
西屯區,龍潭里,224,175683,784,560,347,966,732.47,93.39
西屯區,惠來里,4811,14049459,2920,1045,477,2362,14977.67,512.89
西屯區,何安里,1791,1710966,955,614,340,1234,1194.41,125.03
西屯區,何厝里,1070,1086898,1016,552,315,1001,5226.73,514.55
西屯區,上石里,1710,1601925,937,711,392,1248,810.08,86.47
西屯區,大河里,1273,1086921,854,567,328,991,1090.63,127.73
西屯區,大石里,565,394815,699,551,310,936,557.23,79.74
西屯區,港尾里,1534,1258719,821,589,324,1075,802.68,97.82
西屯區,廣福里,754,612867,813,560,324,1017,835.90,102.84
西屯區,林厝里,1111,1598474,1439,740,391,1585,3652.26,253.85
西屯區,永安里,4053,4234796,1045,704,389,1258,2388.52,228.60
西屯區,福安里,1015,1429087,1408,761,407,1495,4914.47,349.05
西屯區,協和里,1429,1721107,1204,588,338,1074,7145.20,593.25
西屯區,鵬程里,671,481196,717,572,335,955,560.63,78.18
西屯區,逢甲里,1440,1231787,855,627,370,1045,998.08,116.68
西屯區,大福里,814,547326,672,506,295,849,632.54,94.07
西屯區,大鵬里,1458,1153538,791,581,338,973,764.06,96.57
西屯區,西平里,1565,1473057,941,678,359,1280,878.69,93.35
西屯區,何仁里,2206,1855908,841,608,334,1063,884.13,105.09
西屯區,何德里,1328,1235366,930,642,352,1169,1058.59,113.80
西屯區,何源里,2200,1995777,907,616,343,1109,1049.91,115.73
西屯區,何南里,1601,1539928,962,648,359,1202,1056.02,109.79
西屯區,至善里,1498,1839207,1228,715,392,1372,6959.06,566.80
西屯區,上安里,1866,2011283,1078,757,417,1360,1200.78,111.40
西屯區,上德里,1516,1430409,944,642,358,1230,915.62,97.04
西屯區,逢福里,1804,1761090,976,694,381,1218,1008.36,103.29
西屯區,何明里,1249,1094329,876,605,330,1067,1005.35,114.74
西屯區,何成里,2541,2615704,1029,685,355,1253,1650.17,160.30
西屯區,何福里,1485,1302610,877,617,340,1094,896.17,102.16
西屯區,福和里,1355,1202833,888,565,339,964,1714.77,193.17
西屯區,福中里,1149,1256774,1094,607,365,1068,4269.90,390.37
西屯區,福恩里,1725,1949542,1130,813,410,1410,1593.65,141.01
西屯區,福聯里,946,1063591,1124,695,381,1232,2813.70,250.26
西屯區,福瑞里,999,1133032,1134,759,416,1315,1203.94,106.15
西屯區,福林里,2615,3971880,1519,925,478,1695,3074.53,202.42
西屯區,福雅里,1958,2272923,1161,771,394,1387,1780.36,153.37
南屯區,南屯里,3004,3319301,1105,758,402,1393,1431.62,129.56
南屯區,豐樂里,3907,5149919,1318,795,399,1664,2464.17,186.94
南屯區,楓樹里,1731,1615197,933,616,357,1121,1141.58,122.34
南屯區,中和里,1395,1013910,727,553,322,878,737.07,101.41
南屯區,鎮平里,491,386534,787,551,320,979,793.77,100.83
南屯區,春社里,1785,1420745,796,591,341,1001,839.75,105.50
南屯區,文山里,3055,2716332,889,690,394,1125,854.89,96.15
南屯區,新生里,277,216312,781,560,304,878,911.02,116.66
南屯區,永定里,1538,1463593,952,644,380,1164,1132.69,119.03
南屯區,三厝里,2269,3033127,1337,815,445,1427,5308.37,397.10
南屯區,溝墘里,1978,2679777,1355,786,391,1627,2275.73,167.98
南屯區,田心里,2099,2487911,1185,718,374,1391,2488.15,209.92
南屯區,春安里,185,180219,974,623,391,1055,1342.09,137.77
南屯區,黎明里,1546,1491302,965,648,373,1139,1685.88,174.77
南屯區,大同里,1708,1828558,1071,685,358,1260,3096.92,289.27
南屯區,文心里,1220,1660312,1361,727,367,1356,4657.30,342.22
南屯區,同心里,1783,2005869,1125,653,363,1188,3387.76,301.13
南屯區,向心里,1451,1764473,1216,719,352,1497,1822.95,149.91
南屯區,大業里,2355,2866469,1217,750,367,1477,2444.93,200.87
南屯區,惠中里,2572,4244911,1650,840,413,1734,6390.94,387.23
南屯區,大誠里,1281,1446626,1129,705,398,1366,1969.41,174.39
南屯區,大興里,1412,1436485,1017,657,351,1191,2106.57,207.07
南屯區,寶山里,1727,1617607,937,716,397,1115,1544.08,164.85
南屯區,三和里,2957,4512746,1526,957,483,1706,6363.51,416.97
南屯區,三義里,2259,2798274,1239,918,467,1595,1383.29,111.67
北屯區,北屯里,1154,1115058,966,622,348,1161,1382.00,143.03
北屯區,三光里,2306,1982975,860,622,338,1084,1018.46,118.44
北屯區,舊社里,1858,1570767,845,605,338,1075,888.13,105.05
北屯區,水景里,4333,4576910,1056,673,362,1270,2764.12,261.68
北屯區,軍功里,3501,3250255,928,658,359,1187,909.53,97.97
北屯區,和平里,2446,2116964,865,601,357,1063,931.26,107.60
北屯區,平田里,1765,1485900,842,575,328,1079,946.92,112.48
北屯區,東山里,596,494242,829,542,319,997,995.99,120.11
北屯區,大坑里,507,421766,832,542,309,892,1081.31,129.98
北屯區,民德里,210,186771,889,573,305,1066,1720.16,193.41
北屯區,平和里,1736,1609956,927,645,339,1190,985.01,106.21
北屯區,民政里,247,263435,1067,537,285,956,2458.22,230.49
北屯區,松竹里,2857,3075810,1077,704,379,1364,1315.30,122.17
北屯區,仁美里,2509,2832339,1129,697,372,1345,2114.55,187.32
北屯區,仁和里,2609,3001195,1150,722,381,1433,1821.94,158.39
