"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
中正區,德義里,296,249478,843,616,331,1062,871.13,103.36
中正區,正義里,407,280144,688,538,335,874,535.39,77.78
中正區,信義里,288,216032,750,562,331,936,783.52,104.45
中正區,義重里,322,249070,774,616,382,941,694.24,89.75
中正區,港通里,502,471756,940,642,350,1177,984.83,104.80
中正區,中船里,380,272727,718,591,336,902,574.60,80.06
中正區,正船里,413,306287,742,553,353,912,670.59,90.42
中正區,入船里,248,192940,778,617,370,1042,611.56,78.61
中正區,中砂里,375,270725,722,535,344,941,614.07,85.06
中正區,正砂里,800,690154,863,616,371,1072,884.86,102.57
中正區,真砂里,457,395234,865,562,341,897,3244.85,375.19
中正區,砂灣里,606,430456,710,529,332,883,592.91,83.47
中正區,中濱里,360,235803,655,504,292,811,608.34,92.87
中正區,中正里,551,374373,679,528,296,837,663.04,97.59
中正區,正濱里,297,265314,893,623,386,950,1779.49,199.20
中正區,社寮里,523,340766,652,515,337,838,510.38,78.33
中正區,平寮里,394,245005,622,528,353,781,524.85,84.40
中正區,八斗里,422,269549,639,534,358,840,451.47,70.68
中正區,長潭里,126,82814,657,506,328,821,612.17,93.14
中正區,砂子里,1403,955104,681,538,340,860,594.59,87.34
中正區,海濱里,340,231709,681,534,347,792,844.45,123.91
中正區,建國里,592,493671,834,644,402,1084,669.81,80.32
中正區,和憲里,238,132173,555,484,310,730,364.81,65.69
中正區,碧砂里,345,216337,627,514,312,773,524.88,83.70
中正區,新豐里,1724,1394865,809,641,391,1045,685.74,84.75
中正區,新富里,1446,1015793,702,549,347,866,555.07,79.01
七堵區,八德里,524,346486,661,509,348,795,581.29,87.91
七堵區,長興里,1229,895372,729,574,375,913,577.59,79.28
七堵區,正光里,820,655547,799,586,332,988,734.48,91.87
七堵區,永平里,652,483226,741,582,353,990,594.92,80.27
七堵區,富民里,1256,979913,780,582,352,959,826.61,105.95
七堵區,自強里,297,208791,703,553,330,893,558.62,79.46
七堵區,泰安里,1480,1066149,720,550,359,893,627.80,87.15
七堵區,堵南里,646,452128,700,547,350,894,586.99,83.87
七堵區,堵北里,1208,870308,720,563,354,885,817.35,113.45
七堵區,六堵里,768,595354,775,579,358,995,751.67,96.96
七堵區,友一里,669,747409,1117,722,380,1356,1417.72,126.90
七堵區,友二里,101,74737,740,473,270,827,1088.68,147.13
七堵區,瑪東里,77,51241,665,464,326,729,702.69,105.59
七堵區,瑪南里,130,82850,637,504,347,740,659.98,103.56
七堵區,瑪西里,87,54524,627,478,304,845,489.16,78.05
七堵區,永安里,769,584100,760,557,361,941,689.97,90.84
七堵區,百福里,2090,1588229,760,564,355,936,862.19,113.46
七堵區,實踐里,1271,856727,674,545,353,824,523.68,77.69
七堵區,正明里,733,568243,775,616,371,1006,615.11,79.35
七堵區,長安里,691,497304,720,546,363,864,738.05,102.55
暖暖區,碇內里,865,686323,793,607,372,1019,667.10,84.08
暖暖區,過港里,1141,849587,745,566,359,901,745.85,100.17
暖暖區,暖暖里,868,670798,773,597,370,977,610.23,78.96
暖暖區,暖同里,822,668460,813,584,373,974,833.01,102.43
暖暖區,暖西里,1521,1335923,878,620,367,1077,914.00,104.06
暖暖區,暖東里,111,66991,604,497,328,762,412.02,68.27
暖暖區,八西里,439,333600,760,577,341,946,727.24,95.70
暖暖區,八堵里,187,132155,707,560,359,865,689.92,97.62
暖暖區,八南里,215,146739,683,538,341,804,562.25,82.38
暖暖區,八中里,125,79014,632,459,324,784,479.01,75.78
暖暖區,碇和里,958,755920,789,586,361,992,700.54,88.78
暖暖區,碇安里,1615,1262848,782,619,389,1019,614.01,78.52
