"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,路東里,545,635978,1167,653,369,1142,3573.62,306.24
東區,大福里,549,759973,1384,535,318,860,16160.10,1167.40
東區,東安里,454,402720,887,603,309,1035,1160.74,130.85
東區,德高里,832,693351,833,588,360,1031,852.72,102.32
東區,小東里,1450,1515938,1045,695,389,1254,1216.92,116.40
東區,後甲里,870,659379,758,588,340,971,633.70,83.61
東區,關聖里,1546,2691238,1741,959,468,1908,6211.00,356.79
東區,圍下里,720,770480,1070,611,349,1157,1485.41,138.81
東區,虎尾里,1581,1468647,929,655,380,1169,957.70,103.10
東區,中西里,1160,1531732,1320,714,383,1474,6599.70,499.80
東區,泉南里,1646,1764313,1072,659,355,1221,1399.68,130.58
東區,龍山里,1758,3488059,1984,865,420,1600,16883.95,850.96
東區,忠孝里,1451,1466813,1011,658,368,1214,1617.47,160.00
東區,崇誨里,792,570283,720,548,334,948,588.26,81.70
東區,大學里,513,698453,1362,881,429,1888,1490.13,109.45
東區,大德里,445,310185,697,531,312,845,637.86,91.51
東區,東光里,1847,2740289,1484,797,421,1595,4587.05,309.17
東區,大智里,2106,1795952,853,654,375,1073,749.12,87.84
東區,新東里,899,926695,1031,689,364,1326,1256.13,121.86
東區,仁和里,1347,1016342,755,596,346,966,690.31,91.49
東區,富強里,1511,1434127,949,610,367,1158,1493.90,157.40
東區,衛國里,465,485486,1044,581,347,1069,2176.29,208.45
東區,自強里,1778,1908281,1073,652,376,1222,3015.37,280.95
東區,崇善里,1687,1705929,1011,716,391,1302,961.45,95.08
東區,崇學里,1039,1172525,1129,630,351,1281,3167.53,280.68
東區,崇明里,1464,1877856,1283,787,404,1544,3202.23,249.65
東區,裕農里,983,957292,974,593,329,1138,1967.55,202.04
東區,莊敬里,1355,1502202,1109,725,396,1335,1391.09,125.48
東區,和平里,1635,1855478,1135,770,414,1408,1402.03,123.54
東區,富裕里,692,658283,951,596,341,1019,3234.64,340.03
東區,東明里,1165,1303527,1119,688,359,1305,1941.12,173.48
東區,崇德里,1656,1648133,995,661,377,1169,2241.98,225.27
東區,東智里,680,523441,770,609,350,969,637.06,82.76
東區,東聖里,717,563712,786,589,349,939,836.93,106.45
東區,崇成里,1019,1060729,1041,697,377,1254,1372.18,131.82
東區,東門里,665,908791,1367,597,342,1202,9924.92,726.25
東區,成大里,629,613906,976,637,366,1244,1097.92,112.49
東區,大同里,848,727778,858,540,318,959,1367.52,159.34
東區,德光里,1497,1847292,1234,728,390,1391,4416.51,357.90
東區,崇信里,1288,1172511,910,656,365,1216,914.98,100.51
東區,崇文里,2017,2002891,993,719,389,1266,1119.45,112.73
東區,復興里,1072,898117,838,589,349,1048,839.37,100.19
東區,裕聖里,1615,2216590,1373,1081,555,1869,1184.57,86.31
東區,文聖里,1502,2156792,1436,1074,545,1898,1412.91,98.40
東區,南聖里,866,1231314,1422,914,446,1884,2041.82,143.60
南區,竹溪里,632,783948,1240,694,377,1349,1874.73,151.14
南區,新昌里,675,484372,718,521,303,891,667.98,93.09
南區,田寮里,1001,763950,763,566,342,880,794.10,104.05
南區,荔宅里,43,48579,1130,1116,489,1603,824.64,72.99
南區,明亮里,987,679406,688,516,323,826,640.54,93.05
