"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
鹽埕區,藍橋里,363,289222,797,617,369,1066,706.31,88.65
鹽埕區,慈愛里,89,90780,1020,509,283,865,2521.76,247.23
鹽埕區,博愛里,158,110136,697,482,313,733,812.17,116.51
鹽埕區,陸橋里,309,243062,787,618,341,904,849.20,107.96
鹽埕區,壽星里,348,275652,792,552,314,936,808.34,102.05
鹽埕區,中山里,384,336434,876,594,348,990,1120.73,127.92
鹽埕區,瀨南里,166,291041,1753,552,292,1063,8223.58,469.05
鹽埕區,新樂里,299,284397,951,540,332,1068,1314.63,138.21
鹽埕區,教仁里,656,1558200,2375,541,319,952,30540.52,1285.75
鹽埕區,中原里,196,154543,788,537,297,973,1034.74,131.23
鹽埕區,府北里,412,269194,653,494,287,786,591.69,90.56
鹽埕區,育仁里,255,214803,842,559,319,1050,969.40,115.08
鹽埕區,光明里,408,373375,915,581,304,1000,2151.73,235.13
鹽埕區,江西里,320,308368,964,633,400,1126,1114.49,115.65
鹽埕區,港都里,277,204227,737,528,296,896,794.12,107.71
鹽埕區,新化里,165,111651,677,548,304,847,568.21,83.97
鹽埕區,江南里,198,189411,957,553,349,1038,1281.12,133.92
鹽埕區,河濱里,600,577365,962,567,299,973,2189.01,227.48
鹽埕區,南端里,286,318232,1113,505,329,1021,5518.76,495.98
鹽埕區,沙地里,205,459674,2242,598,372,1018,11545.26,514.88
鹽埕區,新豐里,230,198417,863,610,326,1069,1065.88,123.55
鼓山區,前峰里,1382,1153019,834,629,355,1062,770.49,92.35
鼓山區,光榮里,1051,760084,723,541,334,865,711.25,98.35
鼓山區,民族里,359,255865,713,557,339,861,677.15,95.01
鼓山區,自強里,204,176090,863,604,336,1070,976.39,113.11
鼓山區,建國里,751,646049,860,578,341,1000,1163.61,135.26
鼓山區,內惟里,282,220457,782,547,333,947,835.91,106.93
鼓山區,忠正里,1067,823857,772,550,329,898,1419.20,183.80
鼓山區,龍井里,321,219531,684,519,312,838,638.67,93.39
鼓山區,平和里,1118,865196,774,571,329,974,761.06,98.34
鼓山區,龍子里,5329,6422080,1205,835,449,1519,1495.57,124.10
鼓山區,鼓岩里,289,171739,594,453,242,767,521.74,87.80
鼓山區,樹德里,339,299439,883,581,342,1016,2205.93,249.74
鼓山區,寶樹里,269,174044,647,494,298,768,625.66,96.70
鼓山區,綠川里,338,233807,692,557,351,919,582.32,84.18
鼓山區,河邊里,408,301351,739,517,325,885,880.56,119.22
鼓山區,興宗里,337,224884,667,535,312,859,519.67,77.88
鼓山區,光化里,300,195413,651,495,294,796,634.52,97.41
鼓山區,山下里,382,316037,827,588,346,983,838.69,101.37
鼓山區,登山里,173,151248,874,540,305,1009,1155.39,132.16
鼓山區,峰南里,202,135813,672,510,318,832,601.24,89.42
鼓山區,維生里,404,486656,1205,573,332,1009,2703.44,224.43
鼓山區,延平里,270,260961,967,535,327,986,1827.13,189.04
鼓山區,新民里,249,165937,666,473,294,809,620.10,93.05
鼓山區,惠安里,334,326290,977,520,296,880,3207.07,328.29
鼓山區,壽山里,342,237361,694,499,303,805,1076.76,155.14
鼓山區,哨船頭里,281,229753,818,545,334,914,1164.94,142.48
