"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
宜蘭市,南門里,409,301386,737,545,320,900,719.04,97.58
宜蘭市,建軍里,535,443921,830,616,368,1057,777.07,93.65
宜蘭市,民族里,736,599469,814,605,354,1033,773.22,94.93
宜蘭市,思源里,1504,1544643,1027,783,401,1357,1032.91,100.57
宜蘭市,負郭里,962,791261,823,633,339,1072,734.49,89.30
宜蘭市,神農里,903,673781,746,587,334,943,644.05,86.32
宜蘭市,民權里,529,429449,812,614,333,1103,701.71,86.44
宜蘭市,慈安里,491,314397,640,532,320,881,468.54,73.17
宜蘭市,新民里,498,356525,716,525,285,895,690.12,96.40
宜蘭市,東門里,272,220008,809,570,304,1037,831.92,102.85
宜蘭市,小東里,429,295455,689,517,330,908,537.47,78.04
宜蘭市,菜園里,379,267336,705,547,318,899,622.43,88.24
宜蘭市,孝廉里,321,224568,700,575,335,940,523.92,74.89
宜蘭市,中山里,287,203690,710,558,324,833,693.63,97.73
宜蘭市,北門里,311,211124,679,590,361,850,476.36,70.17
宜蘭市,西門里,462,324719,703,556,303,900,625.24,88.96
宜蘭市,凱旋里,335,255645,763,559,341,894,798.75,104.67
宜蘭市,南津里,558,497296,891,664,366,1173,774.33,86.89
宜蘭市,建業里,493,538068,1091,740,368,1497,1061.14,97.23
宜蘭市,南橋里,328,293283,894,621,374,1164,805.20,90.05
宜蘭市,進士里,750,671557,895,596,358,1021,1251.86,139.81
宜蘭市,茭白里,588,414555,705,591,344,941,538.81,76.42
宜蘭市,新生里,683,452281,662,536,314,797,578.07,87.30
宜蘭市,梅洲里,840,561475,668,525,314,863,583.74,87.33
宜蘭市,北津里,603,422831,701,544,318,919,699.32,99.73
宜蘭市,東村里,676,567230,839,643,367,1130,668.76,79.70
宜蘭市,延平里,966,860954,891,674,363,1204,721.88,81.00
宜蘭市,黎明里,562,488848,870,632,402,1110,849.12,97.62
宜蘭市,七張里,369,290493,787,557,328,783,2070.00,262.94
宜蘭市,復興里,898,739752,824,616,368,1002,1018.86,123.68
宜蘭市,文化里,1034,879051,850,622,358,1117,727.71,85.60
宜蘭市,七結里,849,822357,969,751,401,1273,792.52,81.82
宜蘭市,大新里,235,167829,714,521,325,857,791.85,110.88
宜蘭市,中興里,801,558146,697,560,344,888,525.46,75.41
宜蘭市,成功里,979,875610,894,687,408,1155,752.32,84.12
宜蘭市,泰山里,584,408258,699,554,341,841,590.80,84.51
宜蘭市,新東里,945,765138,810,616,346,1012,859.90,106.20
宜蘭市,擺厘里,1021,901031,882,662,390,1109,837.91,94.95
頭城鎮,石城里,57,35447,622,484,281,702,541.96,87.15
頭城鎮,大里里,107,66731,624,584,322,799,465.44,74.63
頭城鎮,大溪里,157,89905,573,438,293,702,567.23,99.06
頭城鎮,更新里,260,155904,600,438,276,692,656.10,109.42
頭城鎮,合興里,65,40006,615,479,308,870,434.88,70.66
頭城鎮,外澳里,156,121272,777,561,303,834,1169.27,150.41
頭城鎮,港口里,156,97018,622,479,262,731,648.99,104.36
頭城鎮,武營里,388,288812,744,570,309,963,671.54,90.22
頭城鎮,城東里,196,127179,649,502,278,843,566.82,87.35
頭城鎮,城西里,163,109011,669,509,303,732,729.11,109.02
頭城鎮,城南里,190,136527,719,529,310,888,650.51,90.53
頭城鎮,城北里,128,88832,694,526,367,1004,500.61,72.13
頭城鎮,大坑里,279,173504,622,509,301,779,509.89,81.99
頭城鎮,竹安里,441,254431,577,475,292,691,489.59,84.86
頭城鎮,新建里,531,390262,735,590,330,929,623.12,84.78
頭城鎮,拔雅里,492,362695,737,548,339,888,672.32,91.20
頭城鎮,福成里,241,158460,658,496,345,739,631.96,96.11
頭城鎮,金面里,407,257533,633,525,329,767,482.31,76.22
頭城鎮,金盈里,205,130997,639,540,315,837,467.42,73.15
頭城鎮,頂埔里,358,229293,640,496,306,742,636.23,99.34
頭城鎮,下埔里,222,145233,654,512,307,823,537.66,82.19
頭城鎮,中崙里,262,299122,1142,480,284,823,8270.00,724.37
頭城鎮,二城里,294,171393,583,469,290,730,476.12,81.67
頭城鎮,龜山里,97,58894,607,501,313,721,545.66,89.87
礁溪鄉,大忠村,745,518953,697,547,322,865,647.77,92.99
礁溪鄉,大義村,153,96685,632,528,264,872,510.59,80.80
礁溪鄉,二龍村,295,210228,713,587,332,914,566.71,79.52
礁溪鄉,德陽村,1101,881482,801,569,328,1007,964.98,120.53
礁溪鄉,白雲村,416,278654,670,529,303,855,611.39,91.27
礁溪鄉,玉石村,538,447734,832,530,322,907,2074.66,249.29
礁溪鄉,六結村,422,351768,834,584,340,1073,866.93,104.00
礁溪鄉,時潮村,348,228816,658,496,319,798,572.38,87.05
礁溪鄉,林美村,266,179485,675,504,342,774,615.18,91.17
礁溪鄉,三民村,637,386855,607,524,311,756,458.37,75.48
礁溪鄉,玉田村,536,382602,714,520,307,860,1250.11,175.13
礁溪鄉,白鵝村,211,140135,664,492,312,797,608.67,91.65
礁溪鄉,玉光村,262,181540,693,516,291,844,635.94,91.78
礁溪鄉,光武村,338,252870,748,572,317,886,740.23,98.94
礁溪鄉,匏崙村,177,111130,628,500,333,732,487.70,77.68
礁溪鄉,二結村,112,73825,659,483,315,868,644.94,97.84
礁溪鄉,吳沙村,675,516677,765,551,329,929,780.41,101.95
礁溪鄉,龍潭村,842,533929,634,503,307,826,479.88,75.68
壯圍鄉,東港村,185,107744,582,509,300,714,446.42,76.65
壯圍鄉,復興村,344,207004,602,512,309,787,423.53,70.38
壯圍鄉,吉祥村,660,482584,731,549,343,884,741.93,101.47
壯圍鄉,新南村,210,141896,676,525,296,896,552.93,81.83
壯圍鄉,美福村,429,292984,683,540,325,884,533.13,78.06
壯圍鄉,大福村,415,260366,627,492,286,788,556.60,88.72
壯圍鄉,新社村,218,212115,973,523,291,854,3244.08,333.41
壯圍鄉,忠孝村,577,384012,666,516,305,829,570.61,85.74
壯圍鄉,功勞村,309,238093,771,587,357,1083,634.13,82.30
壯圍鄉,永鎮村,155,98376,635,497,273,750,587.70,92.60
壯圍鄉,過嶺村,315,196763,625,455,312,766,593.74,95.05
壯圍鄉,美城村,508,393289,774,553,352,922,761.65,98.38
壯圍鄉,古亭村,383,258601,675,525,306,913,544.71,80.67
壯圍鄉,古結村,275,199570,726,566,370,914,644.50,88.81
員山鄉,員山村,1615,1300213,805,598,346,977,1398.77,173.74
員山鄉,尚德村,590,427068,724,561,342,893,656.22,90.66
員山鄉,內城村,337,238777,709,493,288,731,1991.95,281.14
員山鄉,惠好村,387,279800,723,592,352,928,561.25,77.63
員山鄉,深溝村,444,496099,1117,572,321,967,4861.07,435.06
員山鄉,蓁巷村,291,185002,636,457,272,751,1068.98,168.14
員山鄉,七賢村,328,304868,929,527,308,828,2309.56,248.48
員山鄉,永和村,464,293616,633,492,282,803,550.43,86.98
員山鄉,枕山村,504,385699,765,531,319,869,1272.35,166.26
員山鄉,頭分村,369,237852,645,489,314,762,557.70,86.52
員山鄉,同樂村,563,352015,625,475,295,781,554.55,88.69
員山鄉,湖東村,212,134714,635,479,293,790,632.38,99.52
員山鄉,湖西村,279,195072,699,498,292,817,852.29,121.90
員山鄉,逸仙村,202,162912,806,575,329,1004,799.28,99.11
員山鄉,湖北村,265,255659,965,495,285,869,4596.73,476.47
員山鄉,中華村,120,86303,719,441,291,732,1404.37,195.27
羅東鎮,成功里,487,373152,766,607,351,971,684.71,89.36
羅東鎮,北成里,884,805541,911,646,365,1187,855.03,93.83
羅東鎮,仁愛里,1164,963971,828,574,351,1039,755.38,91.21
羅東鎮,竹林里,930,716135,770,570,336,934,944.96,122.72
羅東鎮,賢文里,1180,947033,803,581,333,981,1127.28,140.46
羅東鎮,東安里,1138,930904,818,596,340,1000,1085.75,132.73
羅東鎮,新羣里,798,578259,725,524,338,900,842.59,116.28
羅東鎮,羅莊里,924,704130,762,561,332,960,897.93,117.83
羅東鎮,仁德里,339,264628,781,548,345,961,944.94,121.05
羅東鎮,漢民里,1113,867345,779,544,325,910,1548.46,198.70
羅東鎮,西安里,880,633238,720,584,340,926,587.52,81.65
羅東鎮,信義里,1000,867510,868,627,395,1081,982.97,113.31
羅東鎮,公正里,913,842728,923,628,352,1029,1669.37,180.86
羅東鎮,大新里,445,419039,942,558,356,1009,1766.87,187.63
羅東鎮,南昌里,694,580228,836,611,367,1013,883.54,105.68
羅東鎮,集祥里,307,276714,901,603,328,1070,1360.49,150.94
羅東鎮,南豪里,412,298811,725,558,318,964,578.99,79.83
羅東鎮,樹林里,1237,1158560,937,662,367,1185,919.62,98.19
羅東鎮,維揚里,889,728585,820,627,376,995,738.37,90.09
羅東鎮,開明里,394,280819,713,505,303,880,727.23,102.03
羅東鎮,中山里,404,291892,723,519,290,905,715.79,99.07
羅東鎮,仁和里,266,181569,683,510,274,849,673.92,98.73
羅東鎮,國華里,1445,1247342,863,628,354,1087,839.37,97.24
五結鄉,五結村,1067,784461,735,567,361,938,592.52,80.59
五結鄉,協和村,915,673370,736,542,322,910,697.24,94.74
五結鄉,大吉村,1005,677172,674,538,316,861,563.99,83.70
五結鄉,福興村,538,377390,701,523,295,885,619.46,88.31
五結鄉,三興村,609,451444,741,559,351,880,715.94,96.58
五結鄉,鎮安村,754,522867,693,572,368,878,561.58,80.98
五結鄉,中興村,415,291850,703,522,333,908,615.94,87.58
五結鄉,四結村,816,701301,859,621,366,1064,804.19,93.57
五結鄉,上四村,483,309730,641,541,319,846,463.64,72.30
五結鄉,二結村,579,470326,812,632,362,1044,726.63,89.45
五結鄉,利澤村,550,359340,653,510,301,837,533.37,81.64
五結鄉,季新村,713,441167,619,480,294,745,589.06,95.20
五結鄉,成興村,816,575904,706,523,324,789,2414.22,342.07
五結鄉,孝威村,396,254140,642,512,326,749,566.62,88.29
五結鄉,錦衆村,338,209961,621,467,292,781,555.43,89.41
冬山鄉,南興村,943,765998,812,635,375,1054,685.96,84.45
冬山鄉,冬山村,217,157540,726,569,321,928,629.84,86.76
冬山鄉,武淵村,366,261372,714,528,301,847,787.15,110.23
冬山鄉,珍珠村,484,384585,795,581,344,954,815.34,102.61
冬山鄉,三奇村,281,173192,616,522,322,849,421.41,68.37
冬山鄉,補城村,322,236142,733,593,308,908,680.71,92.82
冬山鄉,大興村,286,195905,685,526,350,818,546.62,79.80
冬山鄉,東城村,456,304835,668,553,327,831,570.74,85.38
冬山鄉,香和村,919,682366,743,568,334,959,657.05,88.49
冬山鄉,安平村,209,124901,598,451,315,700,499.27,83.54
冬山鄉,太和村,435,309715,712,538,354,842,627.98,88.20
冬山鄉,永美村,963,808723,840,588,350,996,2296.89,273.51
冬山鄉,八寶村,244,174843,717,589,363,874,698.08,97.42
冬山鄉,丸山村,392,289507,739,569,334,900,986.76,133.61
冬山鄉,中山村,111,75730,682,540,303,806,632.27,92.67
冬山鄉,順安村,1491,971582,652,507,313,825,663.27,101.79
冬山鄉,清溝村,1169,939639,804,599,371,1009,715.29,88.99
冬山鄉,羣英村,1434,1029127,718,550,326,890,645.69,89.97
冬山鄉,鹿埔村,650,450088,692,536,318,830,777.78,112.32
冬山鄉,得安村,265,173618,655,499,287,794,756.22,115.42
冬山鄉,廣興村,755,529651,702,524,325,839,706.44,100.70
冬山鄉,廣安村,496,377210,761,583,342,957,713.11,93.77
冬山鄉,柯林村,463,370223,800,634,338,1082,642.01,80.29
冬山鄉,大進村,147,96285,655,454,291,770,696.57,106.35
蘇澳鎮,港邊里,349,247057,708,537,345,856,625.60,88.37
蘇澳鎮,永春里,158,92298,584,497,323,709,398.94,68.29
蘇澳鎮,東澳里,69,42122,610,478,346,699,466.98,76.50
蘇澳鎮,聖湖里,742,525678,708,544,356,849,664.92,93.85
蘇澳鎮,新城里,398,266095,669,541,349,874,493.53,73.82
蘇澳鎮,隘丁里,775,531219,685,558,355,863,499.55,72.88
蘇澳鎮,永榮里,1059,736792,696,580,358,880,522.96,75.17
蘇澳鎮,存仁里,253,167886,664,550,335,801,500.48,75.42
蘇澳鎮,頂寮里,276,184082,667,540,341,770,588.32,88.21
蘇澳鎮,永樂里,130,79844,614,431,288,719,854.34,139.10
蘇澳鎮,蘇東里,144,104061,723,561,349,808,832.47,115.20
蘇澳鎮,朝陽里,105,69820,665,503,372,741,754.91,113.53
蘇澳鎮,南強里,146,89701,614,505,356,740,427.27,69.54
蘇澳鎮,南寧里,212,183594,866,535,314,840,1513.51,174.77
蘇澳鎮,南安里,248,162044,653,478,270,803,627.15,95.98
蘇澳鎮,南正里,206,128593,624,550,312,804,442.77,70.93
蘇澳鎮,蘇西里,713,508162,713,533,319,913,641.44,90.00
蘇澳鎮,蘇南里,137,103257,754,541,346,762,995.84,132.13
蘇澳鎮,蘇北里,287,186506,650,540,290,829,522.55,80.41
蘇澳鎮,長安里,164,109444,667,565,362,879,417.23,62.52
