"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
桃園區,文化里,250,305171,1221,622,316,1182,2924.64,239.59
桃園區,武陵里,522,541634,1038,622,368,1130,1842.93,177.61
桃園區,文昌里,330,286593,868,620,352,1067,837.75,96.46
桃園區,長美里,316,272571,863,615,362,1083,865.53,100.34
桃園區,永興里,578,491132,850,572,316,1045,946.15,111.35
桃園區,南門里,1892,1751626,926,634,377,1120,1068.53,115.42
桃園區,東門里,1031,1003953,974,624,361,1166,1098.49,112.81
桃園區,西門里,506,489721,968,562,329,1180,1290.55,133.34
桃園區,北門里,521,441060,847,541,337,1018,1204.34,142.26
桃園區,雲林里,2120,2021996,954,673,393,1259,893.94,93.73
桃園區,豐林里,2137,1830761,857,596,362,1078,1049.60,122.52
桃園區,會稽里,2996,2732057,912,665,391,1134,1522.56,166.97
桃園區,朝陽里,639,534572,837,600,347,1087,761.86,91.07
桃園區,青溪里,1519,1437564,946,606,357,1024,1716.98,181.42
桃園區,汴洲里,1485,1212403,816,584,360,972,901.00,110.36
桃園區,東埔里,1406,1113642,792,561,340,981,973.63,122.92
桃園區,中埔里,767,640908,836,588,353,1092,857.66,102.64
桃園區,西埔里,1063,1024452,964,637,373,1187,1199.63,124.48
桃園區,中山里,2085,2158841,1035,707,405,1308,1064.65,102.82
桃園區,中正里,1735,1806978,1041,671,391,1218,1614.17,154.99
桃園區,龍岡里,1931,1789595,927,699,398,1179,934.42,100.82
桃園區,東山里,594,544018,916,610,360,1069,1142.32,124.73
桃園區,南華里,425,388037,913,544,333,1026,1350.39,147.90
桃園區,大林里,3505,3025548,863,654,393,1094,796.46,92.27
桃園區,文明里,505,506100,1002,686,373,1201,1230.40,122.77
桃園區,建國里,1694,1368687,808,599,361,997,746.62,92.41
桃園區,成功里,1483,1853801,1250,702,385,1378,3681.68,294.53
桃園區,忠義里,2697,2742860,1017,740,416,1269,1049.70,103.22
桃園區,永安里,1431,1154277,807,603,339,1030,760.33,94.26
桃園區,玉山里,1675,1519343,907,620,370,1078,1105.31,121.86
桃園區,中興里,1760,1627892,925,643,388,1129,917.23,99.17
桃園區,西湖里,480,501216,1044,626,349,1133,1968.92,188.56
