"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,中庄里,977,840844,861,633,348,1098,836.38,97.18
東區,頂庄里,730,658359,902,666,373,1215,778.85,86.36
東區,王田里,883,854156,967,679,366,1227,958.93,99.13
東區,圳頭里,1215,1109403,913,651,360,1139,1475.82,161.63
東區,鹿寮里,233,196544,844,594,355,993,827.63,98.11
東區,盧厝里,480,531305,1107,748,404,1397,1114.64,100.70
東區,短竹里,720,662517,920,661,369,1137,906.80,98.55
東區,長竹里,965,1085540,1125,746,413,1378,1197.67,106.47
東區,後庄里,1221,1012992,830,632,352,1090,733.69,88.43
東區,東川里,625,674541,1079,728,412,1302,1158.52,107.34
東區,太平里,1449,1510585,1043,723,403,1338,1008.49,96.74
東區,興南里,433,330030,762,552,315,982,709.08,93.03
東區,豐年里,419,435481,1039,682,355,1198,1377.04,132.49
東區,新開里,636,529136,832,635,348,1070,713.41,85.75
東區,宣信里,391,278507,712,535,306,908,707.56,99.34
東區,芳草里,909,709903,781,594,364,1002,694.09,88.88
東區,安寮里,857,736079,859,607,357,1090,1233.11,143.57
東區,興村里,1113,869267,781,579,336,967,1275.53,163.32
東區,頂寮里,764,595617,780,589,363,994,642.40,82.40
東區,荖藤里,1202,975632,812,628,372,1042,752.09,92.66
東區,後湖里,1054,768743,729,585,334,928,616.75,84.56
東區,過溝里,717,595679,831,601,324,1067,818.97,98.58
東區,民族里,411,308920,752,536,285,894,1004.82,133.69
東區,朝陽里,575,407744,709,533,307,904,628.35,88.61
東區,華南里,587,441249,752,552,293,967,722.68,96.14
東區,東興里,607,599214,987,589,320,1109,1758.23,178.11
東區,中山里,678,672715,992,711,391,1258,973.22,98.09
東區,中央里,735,636308,866,525,274,969,1324.68,153.01
東區,林森里,807,819027,1015,762,384,1346,912.49,89.91
東區,北門里,687,612465,892,579,341,1030,1519.87,170.48
東區,蘭潭里,632,572480,906,616,352,1095,913.27,100.82
東區,文雅里,1195,1540701,1289,864,447,1657,1510.52,117.16
東區,安業里,529,417343,789,588,366,988,626.10,79.36
東區,義教里,827,660401,799,590,358,1043,730.85,91.52
東區,興安里,656,502738,766,591,336,1006,626.94,81.81
東區,興仁里,1007,782857,777,597,354,990,653.19,84.02
東區,新店里,1404,1341051,955,644,367,1297,934.32,97.82
東區,仁義里,893,785609,880,627,370,1077,980.18,111.42
東區,芳安里,625,535390,857,664,371,1158,712.56,83.18
西區,永和里,470,363667,774,547,310,948,971.91,125.61
西區,新富里,499,371313,744,538,282,992,756.64,101.68
西區,文化里,757,663718,877,589,311,1043,1008.90,115.07
西區,西榮里,683,530449,777,550,303,947,835.25,107.55
西區,國華里,505,455512,902,589,328,981,1206.02,133.70
西區,番社里,482,418575,868,572,339,1020,895.11,103.07
西區,導明里,432,333919,773,536,333,932,754.11,97.56
西區,慶安里,375,252921,674,516,333,841,592.85,87.90
西區,後驛里,480,339935,708,518,312,857,764.49,107.95
西區,福安里,1237,1080657,874,646,374,1039,909.84,104.15
西區,獅子里,774,585051,756,595,350,969,643.14,85.09
西區,紅瓦里,405,309482,764,564,343,959,671.62,87.89
西區,保福里,988,821714,832,612,322,1122,849.43,102.13
西區,保生里,1178,943238,801,565,337,987,930.15,116.17
西區,北新里,271,201107,742,603,338,979,576.96,77.75
西區,育英里,582,501315,861,627,334,1065,869.59,100.95
西區,湖內里,1151,879427,764,570,334,954,765.63,100.21
西區,美源里,1120,947771,846,579,329,1042,978.75,115.66
西區,致遠里,474,360182,760,575,324,954,670.89,88.29
西區,翠岱里,372,300679,808,607,328,1001,762.48,94.33
西區,自強里,440,376785,856,581,320,1132,816.45,95.34
西區,培元里,413,319201,773,598,364,970,689.44,89.20
西區,車店里,1729,1472887,852,600,337,1066,1567.57,184.01
西區,光路里,1450,1205016,831,610,333,1105,781.65,94.06
西區,香湖里,198,144358,729,587,317,906,619.91,85.03
西區,湖邊里,581,447540,770,564,318,944,918.52,119.24
西區,重興里,487,336958,692,524,301,923,594.85,85.97
西區,北榮里,606,489094,807,598,332,1037,760.78,94.26
西區,新厝里,1098,902660,822,599,350,1031,1038.59,126.33
西區,竹圍里,1121,842523,752,546,307,905,1015.56,135.12
西區,保安里,957,744136,778,614,331,977,691.52,88.93
西區,北湖里,720,553654,769,619,347,999,635.29,82.62
西區,下埤里,428,290796,679,478,320,800,749.62,110.33
西區,竹村里,298,237387,797,561,325,979,766.85,96.27
西區,書院里,610,507129,831,570,321,1053,852.34,102.52
西區,福全里,1166,896840,769,550,317,929,891.89,115.96
西區,西平里,888,734753,827,600,332,1058,830.93,100.42
西區,劉厝里,1869,1700971,910,706,385,1208,766.91,84.27
西區,港坪里,949,827184,872,671,370,1157,724.57,83.13
西區,頭港里,428,309904,724,549,319,976,604.24,83.45
西區,大溪里,491,347664,708,537,332,910,624.21,88.16
西區,垂楊里,480,382101,796,605,342,927,823.15,103.41
西區,新西里,515,367519,714,552,336,931,574.90,80.56
西區,福民里,1637,1390098,849,595,328,1084,960.11,113.06
