"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
竹東鎮,上坪里,81,57065,705,604,337,877,502.41,71.31
竹東鎮,瑞峰里,115,90857,790,526,310,840,935.77,118.44
竹東鎮,軟橋里,94,57693,614,477,277,761,467.36,76.15
竹東鎮,員崠里,778,650330,836,628,376,1081,794.25,95.02
竹東鎮,上館里,3067,2636719,860,616,370,1088,953.36,110.89
竹東鎮,東寧里,1143,994574,870,656,381,1158,735.26,84.50
竹東鎮,大鄉里,1517,1443256,951,675,399,1222,1107.70,116.43
竹東鎮,東華里,261,205850,789,519,279,1030,850.25,107.80
竹東鎮,商華里,970,765140,789,585,368,993,689.19,87.37
竹東鎮,竹東里,467,377929,809,565,340,963,1043.19,128.91
竹東鎮,榮樂里,495,408104,824,577,330,972,920.86,111.69
竹東鎮,鷄林里,1340,1078865,805,587,366,1035,707.88,87.92
竹東鎮,五豐里,2577,2327136,903,654,396,1140,871.93,96.55
竹東鎮,三重里,2293,2490263,1086,746,418,1346,1155.69,106.41
竹東鎮,二重里,3400,4180551,1230,748,412,1471,2129.47,173.19
竹東鎮,柯湖里,174,134185,771,555,326,1022,690.25,89.51
竹東鎮,頭重里,1618,1956362,1209,728,407,1495,1418.51,117.32
竹東鎮,員山里,609,662719,1088,700,382,1316,1246.50,114.55
竹東鎮,仁愛里,1081,975818,903,629,386,1122,904.49,100.20
竹東鎮,中山里,567,474495,837,579,327,1070,982.61,117.42
竹東鎮,中正里,637,556105,873,616,344,1057,883.41,101.19
竹東鎮,南華里,366,316374,864,587,365,1155,888.13,102.74
竹東鎮,榮華里,2305,2020205,876,623,366,1123,828.32,94.51
竹東鎮,忠孝里,606,477368,788,585,348,1003,660.24,83.82
竹東鎮,陸豐里,190,155387,818,602,359,1001,1029.66,125.90
關西鎮,東興里,154,119869,778,621,335,1029,653.80,84.00
關西鎮,西安里,614,490766,799,565,378,1018,901.94,112.84
關西鎮,南雄里,235,165677,705,521,351,886,573.20,81.30
關西鎮,北斗里,1210,949913,785,578,374,979,814.34,103.73
關西鎮,仁安里,349,243952,699,545,335,909,615.07,87.99
關西鎮,南山里,321,241234,752,570,327,997,732.55,97.48
關西鎮,北山里,190,151900,799,553,378,861,736.55,92.13
關西鎮,東安里,1179,931412,790,580,379,954,1005.34,127.26
關西鎮,東光里,381,313115,822,596,376,968,790.29,96.16
關西鎮,新富里,150,107458,716,508,355,805,728.44,101.68
關西鎮,玉山里,120,94583,788,525,338,700,1495.49,189.74
關西鎮,錦山里,218,144036,661,532,357,839,479.55,72.58
關西鎮,金山里,140,99555,711,550,383,910,577.97,81.28
關西鎮,石光里,579,463541,801,597,381,1008,696.37,86.98
關西鎮,大同里,243,169004,695,527,353,857,655.80,94.29
關西鎮,上林里,229,187835,820,635,378,941,843.68,102.86
關西鎮,新力里,153,106174,694,512,330,900,564.05,81.28
關西鎮,南和里,257,252137,981,614,396,1052,1818.34,185.34
關西鎮,東山里,227,173164,763,534,347,794,1115.80,146.27
關西鎮,東平里,257,191831,746,587,368,976,581.27,77.87
關西鎮,南新里,236,152210,645,475,320,768,555.89,86.19
新埔鎮,新埔里,326,250512,768,610,345,1048,652.65,84.93
新埔鎮,新生里,178,142245,799,554,328,937,757.80,94.83
新埔鎮,四座里,1201,977314,814,616,372,1042,681.54,83.75
新埔鎮,五埔里,635,432451,681,537,338,905,508.40,74.65
新埔鎮,田新里,872,683898,784,595,338,1060,701.73,89.47
新埔鎮,旱坑里,643,491234,764,574,364,995,680.36,89.06
新埔鎮,北平里,178,118624,666,558,342,871,438.37,65.78
新埔鎮,南平里,292,223318,765,542,352,877,844.65,110.44
新埔鎮,上寮里,621,504250,812,596,374,998,752.39,92.66
新埔鎮,下寮里,830,833247,1004,604,363,1051,1693.88,168.73
新埔鎮,巨埔里,345,274059,794,546,369,971,809.15,101.86
新埔鎮,照門里,446,330680,741,576,365,954,636.26,85.82
新埔鎮,清水里,127,91881,723,592,363,912,618.74,85.52
新埔鎮,鹿鳴里,212,165051,779,600,402,1025,572.25,73.50
新埔鎮,新北里,160,126843,793,536,336,971,873.32,110.16
新埔鎮,內立里,338,248691,736,566,343,972,595.74,80.97
新埔鎮,寶石里,280,232192,829,554,356,1048,1072.74,129.36
新埔鎮,新民里,355,253147,713,589,355,917,536.08,75.18
新埔鎮,文山里,1520,1333367,877,608,377,1066,1227.00,139.87
竹北市,竹北里,2216,2881230,1300,932,463,1763,1239.78,95.35
竹北市,竹仁里,3119,3119909,1000,716,396,1300,957.59,95.73
竹北市,竹義里,1969,1883155,956,706,386,1269,955.66,99.92
竹北市,新社里,2506,2464964,984,698,413,1283,881.77,89.64
竹北市,新國里,1806,1877718,1040,715,399,1340,1026.06,98.69
竹北市,聯興里,1545,1436202,930,672,387,1193,862.12,92.74
竹北市,斗崙里,4436,7746364,1746,1250,612,2249,2108.34,120.74
竹北市,鹿場里,3517,7887208,2243,1690,844,2837,2798.53,124.79
竹北市,東平里,4198,9420496,2244,1747,921,2738,5649.36,251.75
竹北市,中興里,2436,5201493,2135,1578,680,2874,2442.28,114.38
竹北市,隘口里,892,1698003,1904,1339,633,2343,2601.59,136.67
竹北市,東海里,1043,870091,834,618,361,1051,800.54,95.96
竹北市,十興里,3005,5611858,1868,1520,820,2436,1661.84,88.99
竹北市,麻園里,699,613156,877,652,348,1074,811.94,92.56
竹北市,溪州里,811,737671,910,661,359,1147,913.33,100.41
竹北市,白地里,694,549958,792,560,339,903,1250.70,157.83
竹北市,新庄里,356,271993,764,543,316,944,804.28,105.27
竹北市,新港里,372,290679,781,579,366,954,697.43,89.25
竹北市,大義里,488,358438,735,553,358,872,666.53,90.75
竹北市,尚義里,431,326548,758,555,340,948,735.95,97.14
竹北市,崇義里,590,442399,750,554,330,997,667.75,89.05
竹北市,大眉里,643,602630,937,651,388,1119,1161.66,123.95
竹北市,泰和里,2135,2132849,999,753,431,1312,856.88,85.77
竹北市,北崙里,1416,2040202,1441,946,462,1847,1767.42,122.67
竹北市,新崙里,2229,2607667,1170,784,418,1477,1630.67,139.39
竹北市,福德里,1139,1021750,897,619,333,1132,945.63,105.41
竹北市,興安里,1400,2535480,1811,1374,660,2425,1771.77,97.83
竹北市,東興里,1748,2658303,1521,1135,559,1982,2056.14,135.20
竹北市,北興里,455,830464,1825,1270,642,2493,1985.95,108.81
竹北市,文化里,1209,2323477,1922,1205,550,2320,2696.40,140.30
湖口鄉,長嶺村,969,749035,773,605,367,996,596.29,77.14
湖口鄉,中勢村,938,805205,858,614,401,1037,1350.72,157.35
湖口鄉,孝勢村,474,364947,770,588,366,948,751.98,97.67
湖口鄉,仁勢村,278,199935,719,491,303,860,765.71,106.47
湖口鄉,愛勢村,1357,1086931,801,601,377,1029,694.67,86.73
湖口鄉,信勢村,1759,1493237,849,616,389,1057,794.39,93.58
湖口鄉,和興村,912,659278,723,550,371,941,561.02,77.61
湖口鄉,德盛村,1545,1212986,785,610,377,1061,587.87,74.88
湖口鄉,波羅村,752,595387,792,635,403,1049,599.33,75.70
湖口鄉,鳳山村,1131,789877,698,550,366,901,544.82,78.01
湖口鄉,鳳凰村,1911,1377069,721,571,377,918,541.20,75.10
湖口鄉,湖口村,928,815853,879,608,375,1036,1536.71,174.79
湖口鄉,湖鏡村,824,659426,800,610,372,1051,631.77,78.94
湖口鄉,湖南村,522,397658,762,593,373,977,636.71,83.58
湖口鄉,長安村,372,252459,679,560,342,892,573.55,84.51
湖口鄉,中興村,2073,1612983,778,635,401,1007,584.46,75.11
湖口鄉,信義村,1110,915560,825,624,387,1103,667.22,80.89
湖口鄉,中正村,834,736635,883,659,392,1098,828.09,93.75
湖口鄉,東興村,1444,1205038,835,642,394,1019,999.03,119.71
湖口鄉,勝利村,1428,1185980,831,590,392,979,1874.93,225.75
橫山鄉,橫山村,1070,764323,714,571,352,897,590.88,82.72
橫山鄉,內灣村,226,140954,624,518,306,768,462.43,74.14
橫山鄉,新興村,484,362625,749,568,361,951,707.23,94.40
橫山鄉,田寮村,274,207546,757,601,376,983,575.40,75.96
橫山鄉,福興村,117,74513,637,497,283,826,630.42,98.99
橫山鄉,沙坑村,259,175575,678,538,279,882,601.60,88.75
橫山鄉,南昌村,58,50078,863,482,306,906,1279.29,148.17
橫山鄉,力行村,192,137052,714,594,385,970,469.07,65.71
橫山鄉,大肚村,500,350516,701,506,327,911,617.29,88.05
橫山鄉,豐鄉村,51,38911,763,463,358,885,767.40,100.58
橫山鄉,豐田村,91,58870,647,499,342,790,531.93,82.22
新豐鄉,重興村,1655,1295013,782,578,358,940,1768.48,226.01
新豐鄉,新豐村,574,364022,634,505,323,801,521.18,82.18
新豐鄉,埔和村,847,552519,652,520,361,841,485.71,74.46
新豐鄉,員山村,920,869123,945,668,407,1187,1364.27,144.41
新豐鄉,後湖村,506,374581,740,550,355,926,619.44,83.68
新豐鄉,鳳坑村,321,228335,711,549,341,905,653.46,91.87
新豐鄉,中崙村,1107,911284,823,649,396,1046,745.98,90.62
新豐鄉,青埔村,512,365220,713,562,361,890,553.09,77.54
新豐鄉,上坑村,490,365041,745,558,375,893,696.48,93.49
新豐鄉,坡頭村,219,149721,684,524,359,843,597.11,87.34
新豐鄉,福興村,332,254853,768,541,369,960,869.67,113.29
新豐鄉,松林村,1748,1665257,953,731,425,1262,805.54,84.56
新豐鄉,瑞興村,538,403205,749,583,374,932,643.73,85.89
新豐鄉,忠孝村,1355,1290280,952,750,427,1241,847.16,88.97
新豐鄉,山崎村,1500,1401194,934,678,411,1181,1137.44,121.76
新豐鄉,松柏村,1746,1763632,1010,832,448,1362,772.25,76.45
新豐鄉,崎頂村,931,684891,736,577,364,941,574.38,78.08
芎林鄉,華龍村,122,86537,709,516,324,887,663.28,93.51
芎林鄉,五龍村,162,118337,730,548,362,932,684.66,93.73
芎林鄉,秀湖村,341,258913,759,568,344,915,726.73,95.71
芎林鄉,永興村,117,89167,762,582,353,895,766.39,100.56
