"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
苗栗市,中苗里,411,342885,834,581,324,1113,818.78,98.14
苗栗市,青苗里,347,283411,817,612,317,1026,784.18,96.01
苗栗市,玉苗里,270,190629,706,526,303,828,771.68,109.30
苗栗市,綠苗里,259,187216,723,542,314,964,600.25,83.04
苗栗市,高苗里,1063,847225,797,582,338,990,825.03,103.52
苗栗市,恭敬里,469,369124,787,592,347,1060,662.81,84.22
苗栗市,新苗里,335,245922,734,536,309,876,905.36,123.33
苗栗市,勝利里,1355,1136449,839,594,348,1059,1874.27,223.47
苗栗市,維祥里,1229,997739,812,601,353,1079,703.35,86.64
苗栗市,玉清里,841,681022,810,622,380,1102,639.32,78.95
苗栗市,嘉盛里,1292,1040047,805,602,352,1065,664.95,82.60
苗栗市,福星里,1446,1229521,850,666,388,1147,695.97,81.85
苗栗市,北苗里,1909,1686613,884,684,386,1177,725.55,82.12
苗栗市,上苗里,635,556122,876,662,364,1134,825.83,94.30
苗栗市,福麗里,1703,1405911,826,609,354,1098,769.56,93.22
苗栗市,新川里,361,285987,792,563,374,946,1103.33,139.27
苗栗市,新英里,527,385165,731,585,356,962,579.42,79.28
苗栗市,清華里,1170,933265,798,588,336,1066,832.16,104.32
苗栗市,水源里,818,577795,706,552,340,929,572.10,80.99
苗栗市,文山里,1239,1078032,870,647,380,1187,716.96,82.40
苗栗市,建功里,1603,1404916,876,634,361,1162,804.32,91.77
苗栗市,大同里,182,119697,658,492,283,798,733.05,111.46
苗栗市,玉華里,1252,1102817,881,641,378,1126,1486.82,168.80
苗栗市,維新里,1326,1089454,822,611,363,1064,747.29,90.95
苗栗市,福安里,1209,951673,787,623,372,1040,631.55,80.23
苗栗市,嘉新里,1120,909926,812,636,382,1052,731.54,90.04
苗栗市,南勢里,608,407634,670,546,352,867,529.71,79.01
苗栗市,文聖里,1181,954759,808,636,370,1117,640.51,79.23
苑裡鎮,苑東里,667,545385,818,560,345,1053,970.46,118.69
苑裡鎮,西平里,436,271794,623,507,316,790,483.00,77.48
苑裡鎮,苑南里,525,422296,804,555,330,938,945.19,117.51
苑裡鎮,苑北里,246,178710,726,551,346,946,576.12,79.31
苑裡鎮,西勢里,605,416210,688,536,336,845,543.52,79.01
苑裡鎮,海岸里,310,184422,595,471,310,728,477.96,80.34
苑裡鎮,客庄里,1354,1201407,887,573,346,976,3185.54,359.01
苑裡鎮,苑坑里,235,151476,645,467,326,729,620.12,96.21
苑裡鎮,水坡里,146,99669,683,511,334,808,625.16,91.58
苑裡鎮,山腳里,393,246416,627,489,321,777,513.06,81.83
苑裡鎮,舊社里,570,382725,671,512,304,823,610.05,90.86
苑裡鎮,福田里,378,254817,674,511,326,768,642.65,95.33
苑裡鎮,石鎮里,155,103693,669,539,337,854,502.58,75.13
苑裡鎮,蕉埔里,224,144323,644,506,330,785,497.57,77.23
苑裡鎮,社苓里,671,433036,645,483,313,829,534.59,82.84
苑裡鎮,泰田里,502,316561,631,499,300,785,528.86,83.87
苑裡鎮,上館里,461,268209,582,471,304,728,429.17,73.77
苑裡鎮,玉田里,536,335459,626,477,303,776,635.59,101.56
苑裡鎮,南勢里,178,95574,537,465,278,728,382.00,71.15
苑裡鎮,山柑里,419,293787,701,508,338,834,726.80,103.66
苑裡鎮,田心里,569,387502,681,506,319,876,599.49,88.03
苑裡鎮,新復里,413,312002,755,566,329,938,664.91,88.02
苑裡鎮,中正里,652,538681,826,510,309,880,2783.50,336.90
苑裡鎮,苑港里,334,215488,645,487,321,786,585.80,90.80
苑裡鎮,房裡里,706,433029,613,465,301,738,526.60,85.86
通霄鎮,通東里,347,263173,758,560,355,912,742.85,97.95
通霄鎮,通西里,625,470606,753,600,347,971,589.78,78.33
通霄鎮,平元里,616,430902,700,563,341,928,554.08,79.21
通霄鎮,圳頭里,180,111994,622,459,299,660,644.57,103.60
通霄鎮,梅南里,442,284651,644,512,306,844,489.18,75.96
通霄鎮,通灣里,649,428161,660,510,335,856,516.94,78.36
通霄鎮,新埔里,334,195105,584,486,313,716,443.13,75.86
通霄鎮,白東里,447,294299,658,521,362,798,528.44,80.26
通霄鎮,白西里,212,131108,618,493,312,801,440.52,71.23
通霄鎮,內島里,226,153275,678,538,338,774,826.16,121.82
通霄鎮,烏眉里,216,155030,718,564,346,927,640.61,89.25
通霄鎮,楓樹里,98,71691,732,463,297,751,857.44,117.21
通霄鎮,內湖里,491,312617,637,539,335,792,485.10,76.19
通霄鎮,福源里,195,120450,618,469,319,842,445.98,72.20
通霄鎮,城北里,174,120900,695,501,332,856,580.60,83.56
通霄鎮,城南里,222,177165,798,563,328,938,832.71,104.34
通霄鎮,南和里,199,153209,770,552,315,900,864.73,112.32
通霄鎮,福興里,140,95719,684,539,334,865,569.01,83.22
通霄鎮,坪頂里,318,206459,649,521,309,840,517.74,79.75
通霄鎮,五北里,390,330648,848,498,345,803,4453.48,525.29
通霄鎮,五南里,387,240260,621,465,318,779,528.71,85.16
通霄鎮,福龍里,93,64551,694,535,324,930,546.39,78.72
通霄鎮,通南里,812,567287,699,486,302,759,3020.57,432.36
通霄鎮,平安里,653,510758,782,584,355,1026,661.38,84.56
公館鄉,館中村,529,391284,740,588,344,979,646.73,87.44
公館鄉,館南村,1153,846770,734,570,346,953,690.47,94.02
公館鄉,中義村,719,619973,862,594,377,965,2798.20,324.51
公館鄉,玉泉村,786,729341,928,611,381,1131,2748.26,296.18
公館鄉,大坑村,271,179402,662,512,341,843,561.43,84.81
公館鄉,福基村,284,186361,656,513,309,823,525.35,80.06
公館鄉,福德村,101,78578,778,585,353,1073,672.87,86.49
公館鄉,福星村,630,449955,714,566,356,952,522.51,73.16
公館鄉,石墻村,429,322908,753,539,349,938,823.24,109.37
公館鄉,開礦村,82,50695,618,388,239,772,663.15,107.27
公館鄉,五谷村,740,570834,771,582,363,1011,687.33,89.10
公館鄉,玉谷村,449,317980,708,559,350,924,549.47,77.59
公館鄉,鶴岡村,522,389198,746,589,355,1004,625.64,83.91
公館鄉,鶴山村,457,314862,689,530,329,910,566.59,82.24
公館鄉,尖山村,457,347120,760,571,346,949,842.98,110.98
公館鄉,仁安村,361,277563,769,597,340,958,739.28,96.15
公館鄉,南河村,60,35950,599,514,230,796,488.66,81.56
公館鄉,北河村,86,51552,599,458,325,762,488.21,81.44
公館鄉,館東村,753,590982,785,590,353,1020,679.48,86.58
銅鑼鄉,福興村,327,228726,699,562,342,882,564.22,80.66
銅鑼鄉,銅鑼村,1589,1115638,702,555,348,919,555.04,79.05
銅鑼鄉,朝陽村,585,387961,663,524,329,857,506.66,76.40
銅鑼鄉,竹森村,330,242269,734,576,352,913,746.60,101.70
銅鑼鄉,九湖村,340,221348,651,515,318,862,469.62,72.14
銅鑼鄉,樟樹村,382,270300,708,560,383,916,545.64,77.11
銅鑼鄉,興隆村,141,99500,706,542,335,938,576.68,81.72
銅鑼鄉,盛隆村,110,75305,685,581,361,939,460.86,67.32
銅鑼鄉,新隆村,148,104919,709,591,344,1021,476.82,67.26
銅鑼鄉,中平村,1000,701503,702,540,358,899,577.63,82.34
三義鄉,廣盛村,1321,1009438,764,557,333,920,1665.87,218.00
三義鄉,双湖村,587,436517,744,585,372,955,640.58,86.14
三義鄉,双潭村,443,311060,702,562,359,928,519.28,73.95
三義鄉,勝興村,1161,789310,680,526,342,872,568.66,83.64
三義鄉,西湖村,413,273098,661,547,338,832,509.23,77.01
三義鄉,龍騰村,102,101661,997,578,358,996,1558.96,156.41
鯉,魚潭村,293,199442,681,530,334,830,527.64,77.52
