"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南投市,龍泉里,295,214594,727,536,260,944,723.81,99.50
南投市,康壽里,482,420194,872,574,333,1034,1929.79,221.36
南投市,三民里,267,226890,850,611,394,1040,821.49,96.67
南投市,仁和里,179,215993,1207,518,278,769,6738.09,558.41
南投市,南投里,219,153621,701,492,285,776,776.97,110.76
南投市,彰仁里,136,89099,655,500,222,907,614.93,93.86
南投市,崇文里,304,238770,785,542,300,933,821.60,104.61
南投市,漳興里,845,647616,766,601,319,982,685.30,89.42
南投市,漳和里,2356,1859789,789,556,330,943,1540.26,195.12
南投市,軍功里,1390,983415,707,536,323,919,696.00,98.38
南投市,東山里,103,62738,609,485,308,761,531.92,87.33
南投市,平和里,1963,1490545,759,557,320,962,745.57,98.19
南投市,振興里,580,368603,636,500,305,803,518.96,81.66
南投市,千秋里,281,186527,664,528,305,887,528.57,79.63
南投市,三興里,1751,1406094,803,579,331,1058,726.60,90.48
南投市,三和里,1048,876650,836,606,332,1079,820.00,98.03
南投市,嘉興里,570,367514,645,487,303,818,580.65,90.06
南投市,嘉和里,1417,1070220,755,540,314,967,947.29,125.42
南投市,鳳鳴里,143,90863,635,522,357,795,563.74,88.72
南投市,鳳山里,279,192395,690,456,315,726,1281.31,185.81
南投市,平山里,1661,1196943,721,533,317,885,772.55,107.21
南投市,新興里,1599,1041002,651,507,315,819,588.44,90.39
南投市,永豐里,871,817974,939,502,313,793,8993.14,957.61
南投市,福興里,842,622063,739,480,301,755,2097.34,283.89
南投市,營北里,2267,2361286,1042,721,397,1330,1056.64,101.44
南投市,營南里,767,624489,814,569,328,956,942.25,115.73
南投市,內新里,412,315501,766,591,314,1017,661.11,86.33
南投市,內興里,2156,2022495,938,684,382,1223,1010.10,107.68
南投市,光華里,327,259110,792,556,340,872,1079.63,136.25
南投市,光榮里,395,286198,725,570,314,899,666.35,91.97
南投市,光明里,406,316682,780,641,391,1002,577.32,74.01
南投市,光輝里,169,142530,843,618,342,1031,926.34,109.84
南投市,福山里,497,294209,592,463,308,721,494.28,83.50
南投市,永興里,156,101051,648,458,263,840,653.36,100.86
埔里鎮,東門里,681,465332,683,474,273,857,702.63,102.83
埔里鎮,西門里,765,534630,699,532,311,910,643.07,92.02
