"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
彰化市,中正里,513,990195,1930,532,327,971,20054.39,1038.98
彰化市,文化里,449,388819,866,562,316,1022,1154.66,133.34
彰化市,新興里,1870,1670041,893,640,353,1121,924.78,103.55
彰化市,民生里,550,541800,985,613,333,1153,1489.52,151.21
彰化市,興北里,560,440147,786,603,317,1098,680.80,86.62
彰化市,信義里,317,367865,1160,641,348,1173,2751.30,237.09
彰化市,陽明里,611,538651,882,589,323,1055,1280.16,145.21
彰化市,萬安里,1411,1266351,897,591,349,1083,1425.62,158.85
彰化市,新華里,502,399719,796,584,342,943,879.66,110.47
彰化市,光華里,289,252332,873,571,284,1209,952.38,109.08
彰化市,光復里,288,382888,1329,591,280,1142,3189.11,239.88
彰化市,龍山里,677,630436,931,635,363,1158,1060.05,113.83
彰化市,中山里,253,204000,806,555,318,977,857.74,106.38
彰化市,永福里,306,415524,1358,665,304,1257,7182.99,528.97
彰化市,永生里,414,292352,706,474,256,824,780.75,110.56
彰化市,桃源里,695,580080,835,522,315,883,1453.42,174.14
彰化市,大同里,334,296150,887,588,271,1102,1046.36,118.01
彰化市,東興里,579,562236,971,597,354,1138,1132.27,116.60
彰化市,卦山里,879,934105,1063,622,329,1146,3408.81,320.77
彰化市,彰安里,1029,867233,843,568,310,1033,956.00,113.43
彰化市,福安里,388,316655,816,601,301,1078,763.82,93.59
彰化市,西安里,940,1168088,1243,604,333,1104,7732.81,622.29
彰化市,成功里,543,511917,943,589,304,1124,1327.58,140.82
彰化市,南瑤里,2754,2456691,892,598,330,1110,1267.91,142.14
彰化市,華陽里,562,486771,866,617,358,1045,1229.47,141.95
彰化市,延和里,1744,1710202,981,582,336,1100,1874.66,191.17
彰化市,延平里,2977,6481460,2177,600,344,1096,42908.80,1970.84
彰化市,華北里,504,397291,788,586,345,1009,729.00,92.48
彰化市,南興里,2502,2071670,828,576,322,1027,912.21,110.17
彰化市,富貴里,310,240651,776,513,240,924,974.56,125.54
彰化市,介壽里,730,696394,954,584,329,1042,2207.90,231.44
彰化市,光南里,531,577045,1087,667,359,1157,4219.36,388.27
彰化市,民權里,349,285084,817,552,312,901,1387.14,169.81
彰化市,萬壽里,304,228091,750,525,315,876,984.47,131.21
彰化市,中央里,282,242050,858,514,286,903,1911.00,222.64
彰化市,忠孝里,458,513548,1121,638,357,1237,1859.44,165.83
彰化市,五權里,1380,1098365,796,567,339,988,822.45,103.33
彰化市,西興里,1176,1018496,866,611,327,1067,882.12,101.85
彰化市,忠權里,1110,938776,846,587,337,1084,851.72,100.71
彰化市,長樂里,367,292698,798,557,283,976,860.03,107.84
彰化市,西勢里,1300,1155699,889,598,329,1160,921.63,103.67
彰化市,莿桐里,1090,897428,823,521,298,909,1852.95,225.06
彰化市,南安里,699,436080,624,453,259,790,619.17,99.25
彰化市,東芳里,1079,854897,792,507,291,835,2892.26,365.04
彰化市,南美里,568,405654,714,520,300,875,678.24,94.97
彰化市,平和里,1538,1161083,755,553,316,942,756.46,100.20
彰化市,阿夷里,2728,2334527,856,616,343,1096,852.51,99.62
彰化市,古夷里,781,531354,680,507,312,843,682.48,100.31
彰化市,茄苳里,297,199354,671,469,264,799,703.81,104.85
彰化市,茄南里,930,691564,744,524,305,902,858.61,115.46
彰化市,和調里,936,734099,784,560,312,969,773.84,98.67
彰化市,大竹里,1053,779450,740,533,315,930,752.40,101.65
彰化市,竹中里,546,371988,681,508,313,834,585.71,85.97
彰化市,安溪里,594,432377,728,542,325,928,639.21,87.82
彰化市,香山里,1090,805309,739,559,316,906,702.74,95.12
彰化市,牛埔里,893,586339,657,503,312,836,554.54,84.46
彰化市,三村里,309,208493,675,453,274,761,792.90,117.51
彰化市,國聖里,848,618011,729,492,289,849,958.47,131.52
彰化市,福山里,2218,1463182,660,506,298,832,584.07,88.54
彰化市,中庄里,858,612201,714,560,319,912,626.85,87.85
彰化市,快官里,357,374926,1050,513,324,917,3079.85,293.26
彰化市,竹巷里,230,153741,668,507,320,862,586.06,87.68
彰化市,福田里,366,222598,608,477,305,773,506.91,83.35
