"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
東區,榮光里,140,232010,1657,854,438,1752,3603.71,217.46
東區,成功里,262,304688,1163,598,307,1070,5542.52,476.60
東區,育賢里,329,470910,1431,856,375,1854,2161.70,151.03
東區,親仁里,628,1072408,1708,979,475,2033,2808.70,164.48
東區,中正里,230,248730,1081,640,348,1386,1194.64,110.47
東區,東門里,225,265204,1179,585,327,1143,2306.88,195.72
東區,三民里,1831,2139609,1169,698,382,1383,1541.04,131.88
東區,文華里,1746,1971601,1129,748,387,1431,1384.48,122.61
東區,公園里,1129,1780618,1577,924,478,1910,2023.24,128.28
東區,東園里,2100,3075175,1464,1093,535,1937,1725.87,117.86
東區,復中里,1700,2412453,1419,768,404,1547,3135.89,220.98
東區,東勢里,910,1771482,1947,1381,578,2549,3110.06,159.76
東區,綠水里,2311,4141992,1792,1239,531,2340,2992.36,166.96
東區,東山里,1247,1689123,1355,856,415,1622,2354.01,173.79
東區,水源里,1061,915953,863,575,354,999,1605.70,186.00
東區,前溪里,964,829385,860,587,352,1051,1074.44,124.88
東區,光復里,821,1048618,1277,790,395,1653,1895.40,148.40
東區,千甲里,672,568181,846,594,358,1013,827.79,97.90
東區,仙宮里,498,735178,1476,1077,523,1996,1353.12,91.66
東區,光明里,1231,2970160,2413,1450,607,2893,5550.30,230.04
東區,建功里,1106,1226293,1109,734,391,1370,1327.45,119.72
東區,金山里,1923,2946503,1532,991,490,1979,2650.25,172.97
東區,埔頂里,1350,1916915,1420,1013,514,1973,1433.55,100.96
東區,仙水里,1703,2658782,1561,1095,516,2077,1667.03,106.78
東區,龍山里,2209,3907500,1769,1338,679,2296,1879.73,106.27
東區,新莊里,2210,3317833,1501,1099,527,1971,1952.04,130.02
東區,南門里,269,279708,1040,520,339,995,2318.55,222.98
東區,關帝里,178,162785,915,506,280,1016,1274.43,139.36
東區,寺前里,214,207562,970,547,309,974,3625.42,373.79
東區,福德里,516,514387,997,609,324,1281,1212.27,121.61
東區,新興里,1076,926131,861,579,342,1061,918.69,106.74
東區,南市里,292,235765,807,595,327,984,867.61,107.46
東區,振興里,1946,1926350,990,660,392,1210,1307.92,132.13
東區,竹蓮里,277,223946,808,674,401,1022,609.19,75.35
東區,南大里,454,403637,889,611,356,1122,865.41,97.34
東區,頂竹里,1073,1137293,1060,605,355,1084,4687.59,442.26
東區,下竹里,188,160894,856,643,360,1216,707.48,82.67
東區,高峰里,2104,3800004,1806,728,394,1558,9676.07,535.75
東區,柴橋里,1902,3735349,1964,974,477,2135,5509.09,280.52
東區,光鎮里,1202,1137764,947,623,355,1145,1094.72,115.65
東區,豐功里,1742,3765338,2162,1576,562,3045,2308.75,106.81
東區,軍功里,1039,1367841,1316,900,469,1789,1348.39,102.42
東區,武功里,1353,1729713,1278,928,472,1796,1129.48,88.35
東區,立功里,266,202285,760,515,325,969,708.93,93.22
東區,關東里,1652,2432054,1472,863,431,1782,2239.98,152.15
東區,科園里,2606,8508538,3265,1218,524,2636,38293.80,1172.86
東區,錦華里,674,1025898,1522,869,435,1633,3817.64,250.81
東區,建華里,828,953096,1151,721,395,1470,1618.97,140.65
東區,復興里,1766,2366083,1340,878,441,1659,2163.12,161.45
東區,新光里,1227,1126302,918,652,383,1102,897.20,97.74
東區,湖濱里,1290,2993924,2321,771,421,1663,20329.93,875.96
東區,明湖里,1796,1974365,1099,729,451,1312,1415.66,128.78
東區,關新里,1525,4008066,2628,2206,1403,3251,2429.38,92.43
北區,光田里,744,674902,907,647,392,1144,838.61,92.45
北區,仁德里,256,206388,806,539,306,931,1112.06,137.94
北區,中央里,148,115674,782,521,288,1022,777.43,99.47
北區,西門里,195,182570,936,697,394,1178,846.54,90.42
北區,興南里,554,742487,1340,708,411,1464,3484.23,259.97
北區,潛園里,243,195179,803,612,354,1046,669.79,83.39
北區,南勢里,1272,1048706,824,578,355,992,903.93,109.64
北區,崇禮里,395,373861,946,640,358,1170,966.12,102.08
北區,石坊里,181,149742,827,672,360,1128,698.11,84.38
北區,西雅里,944,790078,837,605,361,1020,897.64,107.25
北區,曲溪里,1586,1294496,816,599,363,1027,772.04,94.59
北區,客雅里,937,852532,910,656,379,1131,1001.00,110.02
北區,中興里,186,163640,880,598,291,1064,1065.85,121.15
北區,大同里,339,524369,1547,742,412,1602,2373.19,153.42
北區,中山里,228,225033,987,560,331,894,1850.53,187.49
北區,北門里,304,326624,1074,723,400,1327,1139.50,106.06
北區,民富里,1590,1468910,924,659,374,1124,1160.51,125.62
北區,新民里,542,506602,935,638,351,1147,1325.46,141.81
北區,長和里,455,421516,926,650,387,1128,995.12,107.42
北區,文雅里,1315,1269817,966,657,391,1162,1518.52,157.26
