"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
斗六市,忠孝里,512,412725,806,611,315,1046,1080.18,134.00
斗六市,仁愛里,330,303035,918,566,291,1028,2053.55,223.63
斗六市,信義里,224,173790,776,534,298,1018,808.51,104.21
斗六市,四維里,200,159509,798,519,278,870,1593.33,199.78
斗六市,太平里,265,206446,779,570,293,1047,776.74,99.70
斗六市,中和里,267,213279,799,595,322,1069,710.39,88.93
斗六市,光興里,257,193489,753,482,268,864,971.89,129.09
斗六市,三平里,1554,1448242,932,676,379,1221,947.61,101.68
斗六市,八德里,981,717408,731,536,336,925,664.21,90.83
斗六市,鎮北里,890,695227,781,610,369,992,658.29,84.27
斗六市,龍潭里,554,674463,1217,789,399,1753,1185.59,97.38
斗六市,鎮南里,1228,987680,804,604,353,1033,720.09,89.53
斗六市,林頭里,1169,932045,797,596,363,1016,889.49,111.56
斗六市,重光里,598,394912,660,496,310,799,713.11,107.98
斗六市,溝埧里,211,176685,837,615,367,1113,700.27,83.63
斗六市,江厝里,563,382570,680,533,339,856,593.60,87.36
斗六市,三光里,119,172467,1449,565,369,943,7881.94,543.84
斗六市,崙峰里,774,692221,894,642,365,1091,887.35,99.22
斗六市,嘉東里,427,374861,878,653,372,1204,730.39,83.20
斗六市,久安里,620,482646,778,567,326,1030,701.99,90.18
斗六市,長平里,448,307882,687,515,339,851,653.35,95.07
斗六市,保庄里,1654,1407064,851,662,383,1115,686.94,80.75
斗六市,虎溪里,1660,2003989,1207,583,349,971,13411.15,1110.91
斗六市,梅林里,364,298591,820,517,335,821,2133.67,260.11
斗六市,湖山里,248,159733,644,505,312,856,545.55,84.70
斗六市,榴中里,1288,871806,677,527,346,837,605.97,89.53
斗六市,榴北里,289,169374,586,521,312,766,381.41,65.08
斗六市,榴南里,537,375905,700,537,334,856,830.00,118.57
斗六市,長安里,780,493512,633,513,328,783,659.98,104.31
斗六市,溪洲里,848,600777,708,529,339,848,604.71,85.36
斗六市,十三里,255,176334,692,483,305,833,921.27,133.23
斗六市,鎮東里,1628,1361504,836,626,353,1074,754.33,90.20
斗六市,鎮西里,1207,985716,817,597,331,1036,773.95,94.77
斗六市,社口里,689,522146,758,568,331,934,727.59,96.01
斗六市,公正里,933,803376,861,636,376,1068,869.00,100.92
斗六市,成功里,779,675765,867,625,371,1115,852.34,98.26
斗六市,明德里,1056,849662,805,640,373,1008,724.69,90.07
斗六市,公誠里,755,667409,884,602,360,1048,1639.94,185.52
斗南鎮,南昌里,598,452372,756,540,292,893,974.62,128.84
斗南鎮,新光里,686,476420,694,535,306,876,577.56,83.16
斗南鎮,小東里,394,253050,642,499,285,891,518.04,80.66
斗南鎮,大東里,208,129875,624,475,317,767,492.96,78.95
斗南鎮,埤麻里,188,124401,662,536,339,855,519.31,78.48
斗南鎮,西伯里,226,145441,644,546,338,839,477.23,74.16
斗南鎮,新崙里,327,212755,651,468,290,749,1179.40,181.27
斗南鎮,東仁里,368,285589,776,570,301,1044,718.64,92.60
斗南鎮,西岐里,1702,1343590,789,575,336,1023,686.21,86.93
斗南鎮,舊社里,723,541866,749,582,326,980,673.77,89.90
斗南鎮,田頭里,542,409103,755,563,330,902,765.22,101.38
斗南鎮,中天里,344,276193,803,556,325,1029,778.50,96.96
斗南鎮,北銘里,433,313309,724,508,282,899,816.91,112.90
斗南鎮,明昌里,1525,1086197,712,551,318,921,587.47,82.48
斗南鎮,東明里,225,173086,769,506,307,889,1289.54,167.63
斗南鎮,新南里,118,64017,543,409,288,685,406.74,74.97
斗南鎮,阿丹里,225,147711,656,569,317,855,499.82,76.13
斗南鎮,將軍里,393,270319,688,525,333,867,598.83,87.06
斗南鎮,林子里,330,229067,694,531,320,804,657.89,94.78
斗南鎮,石龜里,177,110037,622,505,324,775,464.65,74.74
斗南鎮,石溪里,210,151263,720,527,324,897,634.69,88.12
斗南鎮,靖興里,221,163397,739,571,348,920,628.82,85.05
虎尾鎮,東仁里,831,729042,877,636,372,1194,753.59,85.90
虎尾鎮,新興里,526,433120,823,596,307,1081,829.07,100.69
虎尾鎮,公安里,943,782739,830,648,367,1056,796.89,96.00
虎尾鎮,德興里,720,566625,787,586,356,980,855.53,108.71
虎尾鎮,中山里,297,237125,798,553,243,1045,903.37,113.15
虎尾鎮,西安里,1028,883205,859,630,366,1105,809.62,94.24
虎尾鎮,安慶里,508,453365,892,606,348,1114,937.67,105.07
虎尾鎮,平和里,1282,1478132,1153,911,470,1387,4112.06,356.64
虎尾鎮,興南里,614,579077,943,719,409,1241,770.80,81.73
虎尾鎮,新吉里,1099,1066582,971,766,422,1281,795.84,82.00
虎尾鎮,穎川里,498,393203,790,618,358,1033,627.50,79.47
虎尾鎮,延平里,229,160262,700,518,335,926,580.80,82.99
虎尾鎮,惠來里,495,305208,617,526,323,807,438.75,71.16
虎尾鎮,頂溪里,536,340794,636,524,312,768,544.32,85.61
虎尾鎮,中溪里,320,205243,641,519,320,838,527.81,82.29
虎尾鎮,下溪里,361,261600,725,561,320,910,631.89,87.20
虎尾鎮,埒內里,620,438471,707,543,317,922,592.03,83.71
虎尾鎮,堀頭里,189,124275,658,464,277,866,649.62,98.80
虎尾鎮,安溪里,455,333339,733,572,345,942,593.93,81.07
虎尾鎮,興中里,375,263575,703,525,326,920,595.34,84.70
虎尾鎮,廉使里,712,536326,753,557,327,948,889.50,118.09
虎尾鎮,東屯里,293,206190,704,542,330,888,571.46,81.21
虎尾鎮,西屯里,328,231999,707,540,348,880,585.56,82.79
虎尾鎮,芳草里,160,104733,655,489,343,721,810.47,123.82
虎尾鎮,墾地里,211,145362,689,514,330,921,595.19,86.39
虎尾鎮,北溪里,159,115776,728,581,368,939,536.53,73.68
虎尾鎮,三合里,251,188738,752,580,324,1014,639.04,84.99
虎尾鎮,建國里,106,72501,684,577,354,858,494.35,72.28
虎尾鎮,立仁里,1208,1068553,885,695,408,1176,692.97,78.34
西螺鎮,振興里,323,224230,694,570,324,893,557.85,80.36
西螺鎮,大園里,394,277004,703,567,310,923,611.13,86.92
西螺鎮,廣福里,549,416753,759,613,352,980,652.13,85.91
西螺鎮,正興里,784,614056,783,597,361,987,886.57,113.19
西螺鎮,永安里,96,58732,612,523,317,855,415.60,67.93
西螺鎮,中和里,162,123446,762,556,293,940,755.03,99.08
西螺鎮,福興里,150,98976,660,476,277,958,627.22,95.06
西螺鎮,光華里,255,218335,856,649,380,1104,735.50,85.90
西螺鎮,新安里,224,151165,675,535,295,879,756.62,112.12
西螺鎮,新豐里,244,158802,651,502,263,892,617.03,94.81
西螺鎮,中興里,671,505273,753,589,341,972,624.73,82.96
西螺鎮,漢光里,1027,731600,712,568,331,922,605.79,85.04
西螺鎮,詔安里,213,156449,735,551,337,929,653.82,89.01
