"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
朴子市,安福里,503,390374,776,630,362,1025,591.36,76.20
朴子市,平和里,663,575038,867,661,395,1088,747.53,86.19
朴子市,內厝里,252,188194,747,612,343,1026,519.71,69.59
朴子市,開元里,124,88114,711,633,324,954,540.28,76.03
朴子市,順天里,157,122373,779,558,309,901,1020.70,130.95
朴子市,中正里,195,140065,718,535,282,927,671.52,93.49
朴子市,博厚里,183,147240,805,614,385,963,678.43,84.32
朴子市,文化里,517,406935,787,609,335,1009,707.75,89.92
朴子市,永和里,592,399483,675,534,327,891,536.27,79.47
朴子市,竹圍里,1262,1023912,811,610,339,1070,722.47,89.05
朴子市,新寮里,135,79301,587,454,292,755,495.80,84.40
朴子市,双溪里,114,78746,691,510,322,791,628.76,91.03
朴子市,溪口里,146,93910,643,518,341,830,460.66,71.62
朴子市,德興里,231,161057,697,537,324,882,553.65,79.41
朴子市,仁和里,642,936736,1459,910,579,1491,3146.49,215.65
朴子市,大鄉里,783,588505,752,566,329,935,735.83,97.90
朴子市,大葛里,727,686933,945,747,385,1233,873.41,92.44
朴子市,佳禾里,134,78521,586,470,301,760,439.40,74.99
朴子市,竹村里,230,145469,632,512,321,742,655.46,103.63
朴子市,崁前里,149,84167,565,469,286,714,455.75,80.68
朴子市,崁後里,122,74401,610,499,304,843,423.99,69.52
朴子市,順安里,42,20276,483,444,275,619,286.67,59.38
朴子市,德家里,132,75487,572,475,302,680,442.59,77.39
朴子市,新庄里,142,87390,615,547,302,779,440.52,71.58
朴子市,松華里,202,138837,687,506,322,891,752.97,109.55
朴子市,梅華里,166,108161,652,510,277,791,656.65,100.78
朴子市,南竹里,87,59841,688,539,302,945,533.76,77.60
布袋鎮,岱江里,102,61999,608,538,366,844,394.19,64.85
布袋鎮,九龍里,78,51079,655,498,311,874,588.31,89.84
布袋鎮,岑海里,389,277474,713,578,387,920,520.29,72.94
布袋鎮,興中里,242,154920,640,528,359,859,443.24,69.24
布袋鎮,光復里,364,268330,737,593,347,926,633.57,85.95
布袋鎮,見龍里,189,122699,649,524,351,826,512.79,78.99
布袋鎮,新厝里,179,125338,700,575,353,878,531.55,75.91
布袋鎮,龍江里,173,124261,718,620,381,923,513.45,71.48
布袋鎮,東港里,453,325904,719,566,323,870,712.23,99.00
布袋鎮,永安里,249,159923,642,535,332,909,443.86,69.11
布袋鎮,江山里,53,40027,755,556,385,933,754.72,99.93
布袋鎮,考試里,54,39596,733,511,314,855,849.80,115.89
布袋鎮,菜舖里,82,53413,651,518,387,867,431.96,66.31
布袋鎮,振寮里,147,103875,707,549,346,907,625.61,88.53
布袋鎮,西安里,191,128752,674,515,333,902,552.57,81.97
布袋鎮,東安里,221,142240,644,504,316,785,558.78,86.82
布袋鎮,中安里,260,179938,692,532,359,825,566.17,81.81
布袋鎮,樹林里,87,49828,573,441,334,643,464.90,81.17
布袋鎮,貴舍里,102,66940,656,541,286,895,474.82,72.35
布袋鎮,復興里,461,317649,689,533,330,786,765.35,111.07
布袋鎮,新民里,217,157431,725,531,354,860,665.91,91.79
布袋鎮,好美里,195,112951,579,445,290,697,515.63,89.02
布袋鎮,新岑里,219,134130,612,498,350,690,495.28,80.87
大林鎮,東林里,157,121355,773,561,303,1043,739.31,95.65
大林鎮,西林里,557,428880,770,595,320,953,762.23,98.99
大林鎮,吉林里,265,192102,725,547,326,923,615.93,84.97
大林鎮,平林里,1554,1296950,835,608,347,1039,829.61,99.40
大林鎮,明華里,232,176479,761,608,334,918,721.06,94.79
大林鎮,明和里,405,310178,766,572,336,1075,597.02,77.95
大林鎮,排路里,119,91032,765,565,291,976,704.25,92.06
大林鎮,西結里,131,87374,667,475,267,792,744.99,111.70
大林鎮,湖北里,134,85456,638,517,322,806,471.76,73.98
大林鎮,大糖里,49,28631,584,405,206,823,545.16,93.30
大林鎮,大美里,305,198941,652,532,350,837,537.51,82.41
大林鎮,過溪里,268,189897,709,568,365,885,545.91,77.04
大林鎮,中坑里,215,151222,703,506,314,754,818.08,116.31
大林鎮,上林里,141,92473,656,516,325,826,655.43,99.94
大林鎮,中林里,334,258790,775,546,354,871,785.96,101.44
大林鎮,三和里,450,295034,656,512,301,828,561.40,85.63
大林鎮,溝背里,189,131646,697,571,343,907,544.72,78.20
大林鎮,義和里,128,89734,701,551,339,878,540.79,77.14
大林鎮,內林里,131,97230,742,545,307,936,830.96,111.96
大林鎮,三角里,140,103157,737,586,370,854,622.60,84.50
大林鎮,三村里,176,128433,730,525,341,902,727.03,99.63
民雄鄉,東榮村,653,563793,863,653,338,1097,781.48,90.51
民雄鄉,中樂村,469,389286,830,588,322,958,1213.07,146.15
民雄鄉,西安村,933,804367,862,648,350,1073,953.76,110.63
民雄鄉,寮頂村,536,390520,729,539,295,889,762.43,104.65
民雄鄉,福權村,402,315476,785,588,374,951,791.93,100.91
民雄鄉,東湖村,405,271894,671,532,309,901,515.52,76.79
民雄鄉,豐收村,531,416803,785,565,320,959,785.85,100.12
民雄鄉,頂崙村,347,255307,736,572,346,931,621.30,84.44
民雄鄉,鎮北村,243,185317,763,551,314,1033,665.79,87.30
民雄鄉,三興村,343,448789,1308,853,408,1825,1254.88,95.91
民雄鄉,東興村,90,73723,819,545,312,1108,740.29,90.37
民雄鄉,菁埔村,374,251782,673,515,304,858,603.36,89.62
民雄鄉,中和村,232,172236,742,608,374,968,559.36,75.34
民雄鄉,西昌村,179,119341,667,506,326,824,600.03,90.00
民雄鄉,平和村,189,141467,749,562,345,987,674.01,90.05
民雄鄉,中央村,305,214608,704,553,345,836,561.58,79.81
民雄鄉,興中村,470,322802,687,533,313,855,606.51,88.31
民雄鄉,興南村,712,467808,657,501,309,827,582.98,88.73
民雄鄉,文隆村,620,529802,855,632,373,971,1386.79,162.29
民雄鄉,山中村,858,609358,710,551,325,937,561.27,79.03
民雄鄉,福興村,493,320245,650,499,314,835,517.08,79.60
民雄鄉,松山村,348,226099,650,506,296,790,744.52,114.59
民雄鄉,雙福村,691,579313,838,626,348,1078,955.34,113.95
民雄鄉,北斗村,1310,940821,718,548,331,921,703.53,97.96
民雄鄉,秀林村,584,404655,693,537,318,835,887.81,128.13
民雄鄉,大崎村,569,383825,675,500,291,813,755.77,112.04
民雄鄉,金興村,701,438146,625,500,336,784,485.89,77.74
民雄鄉,福樂村,1763,1369257,777,577,359,989,685.52,88.26
溪口鄉,溪東村,290,209884,724,562,351,882,624.66,86.31
溪口鄉,溪西村,119,79697,670,496,278,778,681.47,101.75
