"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
屏東市,勝豐里,97,60332,622,447,251,871,584.98,94.05
屏東市,金泉里,158,110313,698,426,240,816,860.83,123.30
屏東市,慶春里,86,110330,1283,526,328,957,5295.28,412.76
屏東市,平和里,218,164653,755,498,247,885,899.16,119.05
屏東市,楠樹里,137,88539,646,574,299,808,505.65,78.24
屏東市,扶風里,173,135182,781,539,311,848,1024.49,131.11
屏東市,橋南里,401,330906,825,591,364,1016,882.30,106.92
屏東市,橋北里,242,181193,749,577,343,990,647.36,86.46
屏東市,長春里,611,531836,870,603,374,1151,771.91,88.68
屏東市,豐田里,1327,1174785,885,650,391,1132,825.09,93.20
屏東市,安樂里,145,126516,873,584,286,1135,1101.74,126.27
屏東市,歸心里,231,152292,659,502,315,826,682.50,103.52
屏東市,湖西里,340,237230,698,560,338,918,529.34,75.87
屏東市,瑞光里,2162,1843541,853,642,360,1125,716.60,84.04
屏東市,湖南里,254,172457,679,521,328,848,599.32,88.27
屏東市,長安里,388,242829,626,511,299,750,511.46,81.72
屏東市,厚生里,679,438211,645,512,328,799,550.17,85.25
屏東市,大湖里,395,266673,675,513,322,831,580.62,86.00
屏東市,頂宅里,87,55692,640,516,306,796,514.74,80.41
屏東市,新生里,1468,1111175,757,591,350,992,669.47,88.45
屏東市,永安里,1888,1428169,756,596,351,959,633.17,83.70
屏東市,萬年里,149,102885,691,498,302,849,903.91,130.90
屏東市,安鎮里,454,308160,679,554,323,842,570.56,84.06
屏東市,永昌里,44,31019,705,506,270,862,831.78,117.99
屏東市,光華里,174,120354,692,560,303,962,667.81,96.55
屏東市,一心里,407,359722,884,662,331,1190,744.39,84.22
屏東市,義勇里,428,499427,1167,869,423,1468,1608.69,137.86
屏東市,公館里,333,259709,780,596,356,1007,682.27,87.48
屏東市,龍華里,498,375959,755,539,330,942,760.47,100.73
屏東市,玉成里,309,209492,678,545,340,860,496.22,73.19
屏東市,新興里,762,612862,804,727,424,1041,541.58,67.34
屏東市,頂柳里,247,157486,638,490,303,800,530.01,83.13
屏東市,擇仁里,195,114783,589,452,277,734,482.73,82.01
屏東市,清溪里,1180,903045,765,615,377,985,625.86,81.78
屏東市,前進里,682,449362,659,529,318,842,575.03,87.27
屏東市,大洲里,273,171589,629,509,290,781,508.58,80.92
屏東市,永光里,245,159281,650,515,309,804,591.60,91.00
屏東市,永順里,68,47669,701,567,335,809,638.41,91.07
屏東市,大埔里,169,126199,747,545,311,875,719.66,96.37
屏東市,大同里,197,145479,738,531,262,1003,848.81,114.94
屏東市,文明里,101,98311,973,670,361,1280,983.20,101.01
屏東市,光榮里,192,142843,744,546,309,930,708.17,95.19
屏東市,端正里,96,79766,831,557,295,1014,874.88,105.29
屏東市,武廟里,140,130509,932,616,345,1170,973.97,104.48
屏東市,必信里,146,100027,685,576,282,892,541.47,79.03
屏東市,崇禮里,75,57210,763,513,285,937,724.50,94.98
屏東市,崇智里,119,77338,650,507,281,806,673.08,103.57
屏東市,民權里,171,123496,722,559,311,896,624.85,86.52
屏東市,維新里,621,426252,686,568,347,827,595.81,86.80
屏東市,斯文里,560,479686,857,638,346,1069,862.53,100.69
屏東市,泰安里,207,204541,988,650,324,1091,1408.29,142.52
屏東市,仁義里,249,175383,704,577,338,890,580.38,82.40
屏東市,三山里,283,180277,637,508,307,843,502.16,78.83
屏東市,海豐里,191,143111,749,604,373,915,599.92,80.07
屏東市,和興里,186,107634,579,492,294,760,427.93,73.95
屏東市,崇蘭里,3465,3056836,882,694,405,1151,786.72,89.18
屏東市,空翔里,325,289801,892,685,397,1111,772.05,86.58
屏東市,廣興里,439,285723,651,524,319,826,524.85,80.64
屏東市,潭墘里,3156,2338655,741,601,359,982,572.39,77.24
屏東市,明正里,243,265388,1092,644,319,1183,3821.03,349.87
屏東市,溝美里,686,542652,791,590,335,946,941.95,119.08
屏東市,勝利里,1406,1134592,807,612,368,1015,727.38,90.14
屏東市,永城里,522,355737,681,524,292,883,631.52,92.67
屏東市,北勢里,718,584998,815,586,339,991,994.58,122.07
屏東市,華山里,1446,1145185,792,622,379,1027,642.71,81.15
屏東市,太平里,230,210483,915,685,355,1142,928.96,101.51
屏東市,興樂里,221,187186,847,593,336,1104,915.81,108.12
屏東市,大武里,2283,1746611,765,582,351,978,696.09,90.99
屏東市,建國里,233,182288,782,587,315,1061,753.26,96.28
屏東市,崇武里,766,593791,775,620,345,995,668.09,86.19
屏東市,凌雲里,123,76542,622,552,278,833,443.06,71.20
屏東市,鵬程里,166,151321,912,874,682,1128,415.94,45.63
屏東市,豐榮里,812,679127,836,614,355,1074,796.63,95.25
屏東市,信和里,343,239630,699,562,345,895,602.68,86.27
屏東市,豐源里,1309,1135701,868,653,390,1097,775.91,89.43
屏東市,大連里,3386,3159066,933,662,379,1183,1010.08,108.26
屏東市,仁愛里,685,556148,812,591,349,1078,727.71,89.63
屏東市,中正里,1564,1366985,874,656,372,1124,745.38,85.28
屏東市,北興里,1818,1445486,795,615,356,1024,657.16,82.65
潮州鎮,潮州里,155,112993,729,567,274,917,650.32,89.21
潮州鎮,光華里,1239,974527,787,622,353,1033,629.19,79.99
潮州鎮,三星里,1449,1129338,779,612,347,1039,656.09,84.18
潮州鎮,彭城里,179,127610,713,540,327,798,693.01,97.21
潮州鎮,九塊里,255,150500,590,444,279,677,556.10,94.22
潮州鎮,興美里,175,126930,725,565,355,895,834.83,115.10
潮州鎮,檨子里,58,38637,666,495,294,762,637.58,95.71
潮州鎮,新生里,276,205277,744,584,332,947,637.57,85.72
潮州鎮,新榮里,366,282409,772,546,288,996,799.33,103.59
潮州鎮,同榮里,161,96613,600,454,253,728,616.56,102.75
潮州鎮,三共里,1896,1548161,817,604,359,1040,736.98,90.26
潮州鎮,五魁里,334,235472,705,552,328,910,662.12,93.92
潮州鎮,蓬萊里,508,383886,756,596,352,994,605.43,80.12
潮州鎮,八爺里,523,341674,653,520,326,859,516.07,79.00
潮州鎮,光春里,285,199520,700,529,332,806,1189.29,169.88
潮州鎮,泗林里,337,252508,749,590,357,976,629.76,84.05
潮州鎮,四春里,380,237322,625,514,321,783,497.17,79.61
潮州鎮,崙東里,224,135317,604,498,303,753,477.78,79.09
潮州鎮,永春里,1774,1301820,734,589,350,994,563.94,76.85
潮州鎮,三和里,566,454083,802,618,343,1023,799.57,99.66
潮州鎮,富春里,248,164427,663,571,311,793,623.33,94.01
東港鎮,八德里,173,130110,752,521,313,918,880.93,117.13
東港鎮,東隆里,257,157102,611,480,304,734,531.15,86.89
東港鎮,共和里,117,104965,897,628,323,1168,970.49,108.18
東港鎮,豐漁里,113,79503,704,529,357,942,649.33,92.29
東港鎮,盛漁里,250,147025,588,491,310,719,453.76,77.16
東港鎮,興漁里,372,229220,616,490,321,768,483.22,78.42
東港鎮,鎮海里,490,285182,582,482,311,720,490.10,84.21
東港鎮,嘉蓮里,302,200056,662,504,333,831,534.35,80.66
