"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
花蓮市,民意里,480,336562,701,518,310,886,642.11,91.58
花蓮市,民政里,1265,1122356,887,664,383,1113,782.54,88.20
花蓮市,民運里,613,466683,761,532,318,921,873.79,114.77
花蓮市,民樂里,189,175127,927,624,410,1147,874.16,94.34
花蓮市,民立里,550,579663,1054,719,363,1279,1395.46,132.41
花蓮市,民勤里,1066,1161699,1090,801,460,1433,1047.84,96.15
花蓮市,民德里,556,548216,986,731,397,1217,951.68,96.52
花蓮市,民權里,107,101881,952,681,350,1305,859.53,90.27
花蓮市,民有里,185,156261,845,612,367,1175,754.06,89.27
花蓮市,民主里,158,120221,761,551,293,1045,766.88,100.79
花蓮市,民治里,12,9215,768,783,522,1049,358.30,46.66
花蓮市,民族里,136,119275,877,629,359,1098,848.29,96.72
花蓮市,民生里,377,311437,826,594,311,1081,802.49,97.14
花蓮市,主商里,216,183023,847,664,330,1078,751.75,88.72
花蓮市,主勤里,278,239315,861,621,297,1158,837.22,97.26
花蓮市,主工里,195,151372,776,583,359,943,728.76,93.88
花蓮市,主睦里,155,113464,732,540,307,912,649.98,88.79
花蓮市,主義里,132,98764,748,506,327,904,743.55,99.38
花蓮市,主計里,204,166798,818,581,358,1044,763.15,93.34
花蓮市,主信里,187,132224,707,514,293,888,671.45,94.96
花蓮市,主和里,788,527465,669,519,314,859,563.15,84.13
花蓮市,主學里,600,415787,693,530,309,917,615.42,88.81
花蓮市,主農里,1138,856779,753,565,325,993,670.82,89.10
花蓮市,主力里,885,660526,746,574,320,944,700.18,93.81
花蓮市,主權里,1680,1248723,743,556,340,961,687.89,92.55
花蓮市,國治里,323,293477,909,596,305,1176,1351.84,148.78
花蓮市,國風里,1083,898681,830,618,381,1065,762.67,91.91
花蓮市,國威里,511,438087,857,582,319,1132,906.59,105.75
花蓮市,國安里,193,146743,760,605,331,1009,642.85,84.55
花蓮市,國華里,764,648254,849,622,344,1127,769.41,90.68
花蓮市,國魂里,683,561763,822,564,318,1063,962.02,116.96
花蓮市,國聯里,921,676282,734,535,305,946,702.52,95.67
花蓮市,國富里,1692,1350052,798,585,361,1014,767.13,96.14
花蓮市,國慶里,290,321262,1108,696,400,1288,1186.48,107.10
花蓮市,國福里,353,202042,572,481,307,728,414.29,72.38
花蓮市,國強里,530,441513,833,642,358,1069,724.90,87.02
花蓮市,國防里,245,179126,731,572,326,951,587.38,80.34
花蓮市,國光里,363,296028,816,554,318,1021,933.73,114.50
花蓮市,民心里,309,331004,1071,617,401,1244,1514.38,141.37
花蓮市,民享里,957,865814,905,669,394,1156,986.95,109.09
花蓮市,國裕里,1414,1141504,807,605,356,1004,821.42,101.75
花蓮市,國盛里,1084,773905,714,560,336,906,621.93,87.11
花蓮市,主安里,822,596753,726,547,327,944,633.54,87.27
花蓮市,國興里,1357,1377457,1015,728,415,1326,929.63,91.58
花蓮市,民孝里,1066,918801,862,694,406,1098,688.71,79.90
光復鄉,大安村,224,161220,720,558,303,1010,610.12,84.77
光復鄉,大全村,150,80559,537,423,270,693,448.18,83.45
光復鄉,大平村,215,126879,590,474,267,780,451.51,76.51
光復鄉,大馬村,205,122574,598,476,298,783,443.21,74.13
光復鄉,大進村,121,98583,815,585,368,1197,651.20,79.93
光復鄉,大同村,259,166935,645,502,299,843,523.55,81.23
光復鄉,東富村,198,106251,537,431,293,692,366.82,68.36
光復鄉,西富村,191,114287,598,516,351,716,505.42,84.47
光復鄉,南富村,176,111281,632,546,319,811,525.20,83.06
光復鄉,北富村,156,85563,548,485,297,739,367.33,66.97
光復鄉,大富村,72,38168,530,397,274,726,391.19,73.79
光復鄉,大豐村,76,49458,651,481,257,810,782.45,120.24
光復鄉,大興村,69,40516,587,408,254,624,576.01,98.10
光復鄉,大華村,298,203884,684,488,307,878,782.10,114.31
玉里鎮,中城里,1506,1220926,811,615,358,1118,670.39,82.69
玉里鎮,國武里,397,285281,719,532,335,868,663.01,92.27
玉里鎮,啓模里,342,241685,707,530,324,815,732.92,103.71
玉里鎮,泰昌里,244,218426,895,640,335,1060,1197.09,133.73
玉里鎮,源城里,249,147187,591,504,300,794,394.00,66.65
玉里鎮,長良里,84,47301,563,479,303,712,360.60,64.04
玉里鎮,樂合里,142,84456,595,458,303,738,450.05,75.67
玉里鎮,觀音里,209,118603,567,458,283,643,627.79,110.63
玉里鎮,松浦里,249,120002,482,431,264,638,316.99,65.78
玉里鎮,春日里,95,86677,912,530,400,731,2327.78,255.13
玉里鎮,德武里,99,57516,581,538,356,760,322.89,55.58
玉里鎮,三民里,138,103531,750,517,360,851,697.45,92.97
玉里鎮,大禹里,209,127811,612,514,355,743,454.25,74.28
玉里鎮,東豐里,73,41504,569,401,292,774,420.04,73.88
玉里鎮,永昌里,302,201713,668,551,310,873,518.53,77.63
新城鄉,新城村,369,274120,743,541,316,929,967.02,130.17
新城鄉,順安村,172,107465,625,496,326,771,513.83,82.24
新城鄉,康樂村,678,665543,982,640,380,1238,2387.47,243.22
新城鄉,北埔村,1030,762324,740,593,359,929,610.05,82.43
新城鄉,佳林村,230,170525,741,579,323,914,659.23,88.92
新城鄉,嘉里村,1126,959711,852,742,441,1072,651.58,76.45
新城鄉,嘉新村,212,131799,622,526,346,780,425.08,68.37
新城鄉,大漢村,617,386116,626,512,310,801,545.75,87.21
吉安鄉,仁里村,1876,1342788,716,563,336,901,596.09,83.28
吉安鄉,東昌村,1581,1146546,725,576,364,919,571.88,78.86
吉安鄉,南昌村,1166,866217,743,581,341,952,666.40,89.70
吉安鄉,北昌村,2393,1877226,784,599,345,1004,709.01,90.38
吉安鄉,宜昌村,1169,822958,704,554,346,911,560.56,79.63
吉安鄉,太昌村,887,702521,792,570,336,937,1176.58,148.55
吉安鄉,慶豐村,2088,1749982,838,647,366,1098,784.04,93.55
吉安鄉,吉安村,1598,1349116,844,622,368,1155,679.46,80.48
吉安鄉,福興村,734,593307,808,617,360,1056,730.50,90.37
吉安鄉,稻香村,945,780159,826,585,356,1108,784.83,95.07
吉安鄉,永興村,673,437718,650,516,327,825,518.64,79.74
吉安鄉,南華村,341,256588,752,500,301,870,1407.58,187.06
吉安鄉,干城村,290,213229,735,574,340,880,657.76,89.46
吉安鄉,光華村,510,394703,774,588,341,958,695.88,89.92
吉安鄉,仁和村,1196,792291,662,549,352,840,528.79,79.82
吉安鄉,仁安村,598,386009,645,497,302,806,626.16,97.00
吉安鄉,永安村,1296,1077335,831,605,357,1058,791.96,95.27
吉安鄉,勝安村,1600,1325658,829,611,346,1075,765.20,92.36
壽豐鄉,池南村,166,103298,622,488,292,758,518.30,83.29
壽豐鄉,志學村,599,439482,734,548,348,966,630.58,85.95
壽豐鄉,光榮村,164,102664,626,493,336,767,557.21,89.01
壽豐鄉,平和村,282,209058,741,546,300,910,719.03,96.99
壽豐鄉,壽豐村,376,261183,695,509,320,892,595.94,85.79
壽豐鄉,共和村,126,94937,753,535,308,792,1038.34,137.81
壽豐鄉,豐山村,452,290047,642,482,311,784,555.93,86.63
壽豐鄉,豐裡村,319,199859,627,503,304,772,502.20,80.16
