"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
臺東市,中山里,263,211599,805,562,296,884,1856.42,230.74
臺東市,文化里,239,208992,874,629,363,1108,984.36,112.57
臺東市,中正里,279,223704,802,571,315,980,800.41,99.83
臺東市,中華里,363,237296,654,534,332,840,484.55,74.12
臺東市,成功里,178,107126,602,529,274,762,442.25,73.48
臺東市,大同里,198,132815,671,556,279,881,552.72,82.40
臺東市,寶桑里,191,119841,627,485,299,785,523.17,83.38
臺東市,中心里,992,900370,908,660,347,1194,833.91,91.88
臺東市,仁愛里,193,118504,614,525,304,745,492.84,80.27
臺東市,新生里,2042,1712551,839,641,369,1114,692.85,82.61
臺東市,復興里,95,73046,769,575,336,789,1577.18,205.12
臺東市,豐里里,468,343668,734,564,312,962,605.22,82.42
臺東市,豐年里,558,396380,710,509,322,885,641.74,90.34
臺東市,豐原里,218,146550,672,545,336,854,541.33,80.52
臺東市,康樂里,287,197556,688,547,330,838,592.97,86.14
臺東市,光明里,806,884848,1098,742,404,1182,5547.62,505.33
臺東市,鐵花里,123,106611,867,670,341,1231,708.99,81.80
臺東市,四維里,115,67369,586,503,327,711,394.54,67.35
臺東市,新興里,245,175868,718,569,364,965,582.01,81.08
臺東市,豐榮里,2414,2010217,833,651,370,1099,761.20,91.41
臺東市,永樂里,503,481377,957,688,393,1197,941.54,98.38
臺東市,興國里,203,154838,763,573,301,1066,659.23,86.43
臺東市,民族里,474,466431,984,730,393,1258,902.30,91.69
臺東市,建國里,299,170984,572,453,244,750,507.56,88.76
臺東市,強國里,140,93974,671,538,328,775,550.59,82.03
臺東市,民生里,986,791055,802,581,322,1055,722.73,90.08
臺東市,馬蘭里,858,688076,802,634,357,1062,677.88,84.53
臺東市,復國里,101,61768,612,476,278,753,514.07,84.06
臺東市,豐樂里,387,260089,672,527,314,867,547.65,81.49
臺東市,東海里,910,730052,802,622,373,1082,654.14,81.54
臺東市,民權里,257,223176,868,734,407,1083,693.72,79.89
臺東市,卑南里,881,882901,1002,783,423,1351,825.93,82.42
臺東市,南王里,630,466291,740,618,349,973,574.61,77.64
臺東市,建和里,278,172968,622,492,306,757,506.18,81.35
臺東市,知本里,249,152168,611,516,283,805,488.55,79.94
臺東市,富岡里,227,137499,606,486,300,746,546.45,90.21
臺東市,建興里,192,119257,621,508,295,732,550.45,88.62
臺東市,南榮里,613,497333,811,617,382,975,646.75,79.72
臺東市,岩灣里,495,401623,811,657,353,1069,669.80,82.55
臺東市,新園里,236,147075,623,506,325,749,538.79,86.46
臺東市,豐田里,406,257332,634,517,322,772,502.31,79.25
臺東市,自強里,1310,1136889,868,647,360,1129,790.90,91.13
臺東市,豐谷里,1232,875844,711,573,361,907,547.14,76.96
臺東市,建農里,315,182082,578,470,288,683,639.05,110.55
臺東市,建業里,207,135266,653,506,316,802,575.37,88.05
臺東市,富豐里,168,109355,651,562,344,894,419.40,64.43
成功鎮,忠仁里,449,291761,650,540,323,826,481.32,74.07
成功鎮,忠智里,425,295307,695,550,325,851,563.05,81.03
成功鎮,三民里,567,359074,633,517,313,774,517.97,81.79
成功鎮,三仙里,202,112029,555,468,303,715,377.61,68.09
成功鎮,忠孝里,148,90707,613,501,357,683,459.38,74.95
成功鎮,博愛里,99,47713,482,496,266,614,282.48,58.61
成功鎮,信義里,303,164598,543,426,290,637,510.58,93.99
成功鎮,和平里,147,78776,536,448,320,726,369.29,68.91
關山鎮,里壠里,426,290153,681,517,296,892,575.26,84.46
關山鎮,中福里,201,146442,729,559,288,916,642.43,88.18
關山鎮,新福里,172,122618,713,510,304,939,701.92,98.46
關山鎮,德高里,299,179300,600,502,336,736,476.97,79.54
關山鎮,豐泉里,307,230127,750,602,359,1003,544.01,72.57
關山鎮,月眉里,120,79487,662,561,368,812,485.51,73.30
關山鎮,電光里,92,52131,567,482,284,727,421.44,74.37
卑南鄉,賓朗村,436,282126,647,517,315,823,502.72,77.69
卑南鄉,美農村,144,86719,602,482,300,789,489.22,81.24
卑南鄉,初鹿村,223,150446,675,537,331,822,553.46,82.04
卑南鄉,嘉豐村,62,34987,564,514,332,688,346.62,61.42
