"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
金城鎮,東門里,1427,1294786,907,715,398,1206,727.83,80.21
金城鎮,南門里,1687,1565674,928,711,419,1138,988.97,106.56
金城鎮,西門里,3283,3286043,1001,761,439,1308,851.97,85.12
金城鎮,北門里,1283,1205466,940,727,404,1189,802.32,85.39
金城鎮,賢庵里,1252,1098157,877,673,405,1104,821.33,93.64
金城鎮,金水里,626,572900,915,737,412,1203,736.60,80.49
金城鎮,古城里,1070,970572,907,726,447,1219,673.98,74.30
金城鎮,珠沙里,835,731600,876,676,398,1159,720.29,82.21
金寧鄉,古寧村,885,781819,883,645,408,1081,1104.90,125.07
金寧鄉,安美村,1154,966075,837,656,405,1060,681.91,81.46
金寧鄉,湖埔村,1650,1541110,934,751,432,1236,724.07,77.52
金寧鄉,榜林村,1453,1303325,897,705,407,1190,832.04,92.76
金寧鄉,盤山村,1482,1365421,921,750,412,1208,726.18,78.82
金寧鄉,后盤村,384,345464,900,733,444,1193,630.02,70.03
金湖鎮,新市里,1399,1386382,991,732,449,1182,913.03,92.13
金湖鎮,山外里,1000,842226,842,698,405,1063,657.63,78.08
金湖鎮,溪湖里,388,303310,782,612,379,924,768.23,98.27
金湖鎮,蓮庵里,501,430641,860,747,431,1137,585.03,68.06
金湖鎮,料羅里,624,576964,925,845,496,1211,647.88,70.07
金湖鎮,新湖里,2225,2032952,914,744,447,1157,747.59,81.82
金湖鎮,正義里,724,614454,849,659,414,1050,676.33,79.69
金湖鎮,瓊林里,939,756261,805,619,404,1060,623.06,77.36
金沙鎮,汶沙里,1479,1308844,885,695,405,1093,811.96,91.75
金沙鎮,何斗里,551,468212,850,678,413,1078,649.92,76.48
金沙鎮,浦山里,616,506439,822,656,351,1063,718.74,87.42
金沙鎮,西園里,397,331077,834,682,437,1057,663.53,79.57
金沙鎮,官嶼里,554,491456,887,701,402,1130,735.59,82.92
金沙鎮,光前里,662,591634,894,699,381,1173,847.76,94.86
金沙鎮,三山里,485,385827,796,666,419,1044,574.02,72.16
金沙鎮,大洋里,336,282811,842,702,384,1115,657.63,78.13
烈嶼鄉,林湖村,891,752978,845,698,430,1109,601.45,71.17
烈嶼鄉,黃埔村,417,332217,797,612,383,1018,656.70,82.43
烈嶼鄉,西口村,660,552845,838,665,418,1063,654.66,78.15
烈嶼鄉,上林村,393,310981,791,669,387,1038,586.02,74.06
烈嶼鄉,上岐村,761,640012,841,669,405,995,812.02,96.55
烏坵鄉,大坵村,77,68142,885,784,457,1162,658.50,74.41
烏坵鄉,小坵村,101,92370,915,756,361,1272,704.30,77.01
