"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
馬公市,長安里,173,169102,977,643,305,1205,1131.83,115.79
馬公市,復興里,205,180776,882,786,590,1009,571.68,64.83
馬公市,新復里,1,187,187,187,187,187,0.00,0.00
馬公市,中央里,143,114479,801,654,298,1035,667.51,83.38
馬公市,啓明里,307,320350,1043,743,351,1294,1171.23,112.24
馬公市,重慶里,317,262168,827,599,325,1025,912.22,110.30
馬公市,光復里,585,509161,870,667,388,1074,957.91,110.06
馬公市,光明里,432,382996,887,697,405,1174,673.23,75.94
馬公市,重光里,450,416026,925,761,440,1254,691.42,74.79
馬公市,西衛里,1267,1203995,950,752,424,1268,717.24,75.48
馬公市,朝陽里,1695,1514335,893,714,403,1198,718.78,80.45
馬公市,東文里,941,801754,852,711,386,1163,653.80,76.74
馬公市,西文里,1009,871788,864,702,405,1170,661.79,76.59
馬公市,案山里,628,520410,829,737,485,1065,518.56,62.58
馬公市,光華里,265,246997,932,855,651,1080,498.71,53.51
馬公市,前寮里,300,298436,995,742,443,1171,963.36,96.84
馬公市,石泉里,751,685937,913,780,458,1218,620.79,67.97
馬公市,菜園里,114,87566,768,645,371,1051,539.40,70.22
馬公市,東衛里,563,485746,863,752,452,1115,605.53,70.18
馬公市,安宅里,147,119222,811,660,421,1101,579.94,71.51
馬公市,烏崁里,247,179523,727,611,354,924,578.02,79.53
馬公市,興仁里,275,219529,798,691,396,962,612.18,76.69
馬公市,鐵線里,147,109401,744,580,337,869,741.31,99.61
馬公市,山水里,367,274855,749,615,313,961,620.31,82.83
馬公市,鎖港里,525,394281,751,637,385,951,564.33,75.14
馬公市,井垵里,70,49867,712,628,342,840,594.57,83.46
馬公市,嵵裡里,260,194957,750,620,357,993,557.89,74.40
馬公市,風櫃里,227,145314,640,538,379,823,436.86,68.24
馬公市,虎井里,184,131059,712,599,326,919,606.15,85.10
馬公市,桶盤里,44,27809,632,567,265,889,475.59,75.25
馬公市,中興里,273,254326,932,751,451,1242,800.57,85.94
馬公市,五德里,92,66106,719,579,387,775,755.91,105.20
馬公市,光榮里,1307,1211479,927,751,401,1235,754.86,81.44
馬公市,陽明里,774,703551,909,685,371,1227,765.65,84.23
湖西鄉,湖西村,258,215507,835,690,408,1056,603.18,72.21
湖西鄉,湖東村,75,53075,708,645,330,884,485.25,68.57
湖西鄉,南寮村,132,98442,746,530,311,944,681.95,91.44
湖西鄉,白坑村,44,21126,480,304,212,603,466.58,97.18
湖西鄉,青螺村,47,33845,720,536,312,882,634.41,88.10
湖西鄉,紅羅村,171,122976,719,592,333,908,570.91,79.39
湖西鄉,西溪村,201,152281,758,689,503,915,440.33,58.12
湖西鄉,沙港村,187,151581,811,723,357,1094,602.74,74.36
湖西鄉,成功村,185,150430,813,668,424,1014,586.77,72.16
湖西鄉,東石村,26,20470,787,793,360,926,581.14,73.81
湖西鄉,鼎灣村,155,128793,831,712,410,1154,611.30,73.57
湖西鄉,中西村,44,43885,997,728,310,1342,805.47,80.76
湖西鄉,潭邊村,56,47000,839,748,464,1136,500.94,59.69
湖西鄉,許家村,88,73230,832,743,446,1112,551.60,66.29
湖西鄉,隘門村,244,197443,809,676,401,994,551.76,68.19
湖西鄉,林投村,240,165447,689,568,335,939,497.62,72.18
湖西鄉,尖山村,146,99001,678,600,340,812,503.05,74.19
湖西鄉,龍門村,416,272140,654,576,356,842,424.88,64.95
湖西鄉,菓葉村,124,97282,785,695,395,1003,588.24,74.98
湖西鄉,北寮村,68,45190,665,636,363,858,398.62,59.98
湖西鄉,城北村,72,49198,683,640,331,832,536.50,78.52
湖西鄉,太武村,21,16084,766,569,336,832,682.89,89.16
白沙鄉,中屯村,141,108681,771,647,354,1116,523.63,67.93
白沙鄉,講美村,176,127911,727,629,393,962,474.72,65.32
白沙鄉,城前村,31,28187,909,708,537,1195,595.99,65.55
白沙鄉,鎮海村,29,29926,1032,591,361,735,1979.91,191.87
白沙鄉,港子村,70,52661,752,608,362,1120,520.15,69.14
白沙鄉,小赤村,42,39514,941,737,446,1030,880.35,93.57
白沙鄉,岐頭村,52,32621,627,491,274,868,502.56,80.11
白沙鄉,赤崁村,402,320578,797,698,406,1011,553.07,69.35
白沙鄉,瓦硐村,45,40675,904,773,542,1156,617.78,68.35
白沙鄉,後寮村,136,106523,783,689,435,976,542.87,69.31
白沙鄉,通梁村,158,114153,722,581,290,984,567.38,78.53
白沙鄉,吉貝村,188,127418,678,558,297,845,568.04,83.81
白沙鄉,鳥嶼村,178,109900,617,470,311,809,481.52,77.99
白沙鄉,員貝村,33,26335,798,583,376,1144,554.75,69.52
白沙鄉,大倉村,61,40011,656,610,354,851,403.63,61.54
西嶼鄉,合界村,86,61967,721,573,291,952,600.63,83.36
西嶼鄉,橫礁村,34,21148,622,567,315,781,413.59,66.50
西嶼鄉,竹灣村,158,107275,679,577,319,900,487.22,71.76
西嶼鄉,小門村,61,42544,697,543,368,870,489.91,70.24
西嶼鄉,大池村,111,81280,732,507,354,850,640.32,87.44
西嶼鄉,二崁村,25,34488,1380,560,397,826,3382.87,245.22
西嶼鄉,池東村,151,125175,829,688,419,1031,654.31,78.93
西嶼鄉,池西村,36,31336,870,551,352,1211,857.86,98.55
西嶼鄉,赤馬村,97,51700,533,440,272,748,341.16,64.01
西嶼鄉,內垵村,249,151200,607,473,276,809,466.99,76.90
西嶼鄉,外垵村,332,240411,724,579,349,880,651.14,89.92
望安鄉,東安村,227,187378,825,704,369,1224,565.28,68.48
望安鄉,西安村,143,124505,871,697,443,1041,687.02,78.91
望安鄉,將軍村,225,154080,685,544,333,903,563.84,82.34
望安鄉,中社村,74,56408,762,599,362,980,688.54,90.33
望安鄉,花嶼村,42,33783,804,745,496,998,510.61,63.48
望安鄉,水垵村,88,73527,836,670,413,1258,524.32,62.75
