"","",納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數
南竿鄉,介壽村,754,776344,1030,860,494,1327,750.21,72.86
南竿鄉,復興村,364,366629,1007,776,520,1397,695.50,69.05
南竿鄉,福沃村,308,323294,1050,861,503,1316,982.91,93.64
南竿鄉,清水村,282,280232,994,723,469,1266,830.50,83.57
南竿鄉,珠螺村,47,40477,861,666,480,971,680.76,79.05
南竿鄉,仁愛村,164,165590,1010,765,521,1346,702.34,69.56
南竿鄉,津沙村,88,98294,1117,853,567,1312,861.59,77.14
南竿鄉,馬祖村,163,158027,969,701,418,1256,835.23,86.15
南竿鄉,四維村,52,62420,1200,908,615,1454,1004.43,83.68
北竿鄉,塘岐村,318,307098,966,748,401,1257,882.25,91.36
北竿鄉,后沃村,57,60558,1062,900,557,1440,730.19,68.73
北竿鄉,橋仔村,76,78213,1029,789,406,1244,1295.83,125.92
北竿鄉,芹壁村,52,49215,946,811,463,1398,718.46,75.91
北竿鄉,坂里村,77,64449,837,650,472,1058,546.38,65.28
北竿鄉,白沙村,32,21467,671,648,316,881,449.36,66.98
莒光鄉,青帆村,155,152048,981,843,551,1219,701.31,71.49
莒光鄉,田沃村,68,58653,863,655,376,1184,645.40,74.82
莒光鄉,西坵村,25,17811,712,604,301,1049,537.28,75.41
莒光鄉,大坪村,137,130077,949,727,471,1171,854.23,89.97
莒光鄉,福正村,49,37139,758,596,363,1021,540.95,71.37
東引鄉,中柳村,189,174304,922,815,573,1137,598.65,64.91
東引鄉,樂華村,225,200989,893,840,483,1117,553.79,61.99
